આફ્રિકા	Afrique
સપ્ટેમ્બર ૨૬	26 septembre
સપ્ટેમ્બર ૨૫	25 septembre
સપ્ટેમ્બર ૨૩	23 septembre
સપ્ટેમ્બર ૨૨	22 septembre
સપ્ટેમ્બર ૨૪	24 septembre
સપ્ટેમ્બર ૨૧	21 septembre
સપ્ટેમ્બર ૨૦	20 septembre
સપ્ટેમ્બર ૧૮	18 septembre
સપ્ટેમ્બર ૧૭	17 septembre
સપ્ટેમ્બર ૧૯	19 septembre
સપ્ટેમ્બર ૧૬	16 septembre
ડિસેમ્બર ૩૦	30 décembre
ડિસેમ્બર ૩૧	31 décembre
ઓક્ટોબર ૧	1er octobre
ઓક્ટોબર ૧૫	15 octobre
ઓક્ટોબર ૧૨	12 octobre
ઓક્ટોબર ૧૦	10 octobre
ઓક્ટોબર ૧૪	14 octobre
ઓક્ટોબર ૯	9 octobre
ઓક્ટોબર ૮	8 octobre
ઓક્ટોબર ૧૩	13 octobre
ઓક્ટોબર ૭	7 octobre
ઓક્ટોબર ૧૧	11 octobre
ઓક્ટોબર ૬	6 octobre
ઓક્ટોબર ૪	4 octobre
ઓક્ટોબર ૫	5 octobre
ઓક્ટોબર ૩	3 octobre
ઓક્ટોબર ૨	2 octobre
બકરી	Chèvre
ઓક્ટોબર ૩૧	31 octobre
ઓક્ટોબર ૩૦	30 octobre
ઓક્ટોબર ૨૯	29 octobre
ઓક્ટોબર ૨૮	28 octobre
ઓક્ટોબર ૨૬	26 octobre
ઓક્ટોબર ૨૫	25 octobre
ઓક્ટોબર ૨૪	24 octobre
ઓક્ટોબર ૨૭	27 octobre
ઓક્ટોબર ૨૨	22 octobre
ઓક્ટોબર ૨૩	23 octobre
ઓક્ટોબર ૨૦	20 octobre
ઓક્ટોબર ૨૧	21 octobre
ઓક્ટોબર ૧૯	19 octobre
ઓક્ટોબર ૧૭	17 octobre
ઓક્ટોબર ૧૬	16 octobre
ઓક્ટોબર ૧૮	18 octobre
નવેમ્બર ૧૫	15 novembre
નવેમ્બર ૧૪	14 novembre
નવેમ્બર ૧૩	13 novembre
નવેમ્બર ૧૨	12 novembre
નવેમ્બર ૧૧	11 novembre
નવેમ્બર ૧૦	10 novembre
નવેમ્બર ૭	7 novembre
નવેમ્બર ૮	8 novembre
નવેમ્બર ૯	9 novembre
નવેમ્બર ૬	6 novembre
નવેમ્બર ૫	5 novembre
નવેમ્બર ૪	4 novembre
નવેમ્બર ૩	3 novembre
નવેમ્બર ૨	2 novembre
નવેમ્બર ૧	1er novembre
પારામારિબો	Paramaribo
નવેમ્બર ૩૦	30 novembre
નવેમ્બર ૨૯	29 novembre
નવેમ્બર ૨૮	28 novembre
નવેમ્બર ૨૭	27 novembre
નવેમ્બર ૨૬	26 novembre
નવેમ્બર ૨૫	25 novembre
નવેમ્બર ૨૩	23 novembre
નવેમ્બર ૨૪	24 novembre
નવેમ્બર ૨૧	21 novembre
નવેમ્બર ૨૦	20 novembre
નવેમ્બર ૨૨	22 novembre
નવેમ્બર ૧૯	19 novembre
નવેમ્બર ૧૮	18 novembre
નવેમ્બર ૧૭	17 novembre
નવેમ્બર ૧૬	16 novembre
કાઠમંડુ	Katmandou
સીડની	Sydney
મેલબોર્ન	Melbourne
પર્થ	Perth (Australie-Occidentale)
નાઈલ નદી	Nil
કોંગો નદી	Congo (fleuve)
ધૂમકેતુ	Comète
જાકાર્તા	Jakarta
જાવા (ટાપુ)	Java (île)
એડિડાસ	Adidas
વિકિપીડિયા:પ્રયોગસ્થળ	Wikipédia:Bac à sable
વિકિપીડિયા:સ્વાગત	Aide:Premiers pas
કમ્પ્યુટર હાર્ડવેર	Matériel informatique
નકશો	Carte géographique
નવસાર	Ammoniac
ડૉંગ હેકટર એરપોર્ટ	Aéroport de Đồng Hới
શૂન્યાવકાશ	Espace (cosmologie)
આત્મકથા	Autobiographie
ખગોળીય દૂરબીન	Télescope
માઇલી સાઇરસ	Miley Cyrus
માર્જરિન	Margarine
મધરબોર્ડ	Carte mère
USB ડ્રાઇવ	Clé USB
પંજાબ (પાકિસ્તાન)	Pendjab (Pakistan)
મહાબોધિ મંદિર	Temple de la Mahabodhi
સહ્યાદ્રિ પર્વતમાળા	Ghats occidentaux
ભારતની પર્વતીય રેલ્વે	Chemins de fer de montagne en Inde
કન્ફ્યુશિયસ	Confucius
કોર્બીન બ્લુ	Corbin Bleu
શ્રેણી:ગણિત	Catégorie:Mathématiques
ફરો દ્વિપસમૂહ	Îles Féroé
સુરત	Surate
સાયપ્રસનો રાષ્ટ્રધ્વજ	Drapeau de Chypre
બાલી	Bali
માળો (પક્ષી)	Nid
લૅરી પેજ	Larry Page
ગંગા નદી	Gange
સેલિન ડીયોન	Céline Dion
ખંડ	Continent
એડિલેઇડ	Adélaïde (Australie)
પક્ષી	Oiseau
રાજધાની	Capitale
ગુજરાતી ભાષા	Gujarati
મહિનો	Mois
ઢાંચો:Portal	Modèle:Portail
હુઆંગ ઝીયાન-ફાન	Huang Xianfan
બિલ ગેટ્સ	Bill Gates
કમ્પ્યુટર મોનિટર	Écran d'ordinateur
જ્ઞાનકોશ	Encyclopédie
મુખપૃષ્ઠ	Wikipédia:Accueil principal
સિંધવ	Halite
બાસ્કેટબોલ (રમત)	Basket-ball
ક્રિકેટ	Cricket
યુરેશીયા	Eurasie
હિમાલય	Himalaya
કેપ ટાઉન	Le Cap
કેસ્પિયન સમુદ્ર	Mer Caspienne
વિન્સેન્ટ વેન ગો	Vincent van Gogh
વૅલેન્શિયા નો પ્રદેશ	Communauté valencienne
મોહેં-જો-દડો	Mohenjo-daro
પેટ્રા	Pétra
એવર્ટન ફૂટબોલ ક્લબ	Everton Football Club
મક્કા	La Mecque
ચે ગૂવેરા	Che Guevara
નોવાક યોકોવિચ	Novak Djokovic
એરબસ એ ૩૮૦	Airbus A380
ચિચેન ઇત્ઝા	Chichén Itzá
તમિલ ભાષા	Tamoul
ચા	Thé
માર્કો પોલો	Marco Polo
પોર્ટલેન્ડ, ઑરેગોન	Portland
મૂડીવાદ	Capitalisme
દેશ	Pays
હિલેરી ક્લિન્ટન	Hillary Clinton
કોનકોર્ડ	Concorde (avion)
ડોનાલ્ડ ડક	Donald Duck
સ્ટ્રાસબોર્ગ (ફ્રાન્સ)	Strasbourg
ક્રોએશિયન ભાષા	Croate
શેતાન	Diable
રેનો	Renault
કાલિદાસ	Kâlidâsa
ઉલ્કાઓ	Météoroïde
ગૌતમ બુદ્ધ	Bouddha
જૈવ તકનીક	Biotechnologie
વિશ્વ બેંક	Banque mondiale
લોકશાહી	Démocratie
વૈશ્વિકરણ	Mondialisation
નોબૅલ પારિતોષિક	Prix Nobel
ઇંગ્લેન્ડના એલિઝાબેથ પ્રથમ	Élisabeth Ire (reine d'Angleterre)
રવિન્દ્રનાથ ટાગોર	Rabindranath Tagore
માર્ક ટ્વેઇન	Mark Twain
ઍલન ટ્યુરિંગ	Alan Turing
આતંકવાદ	Terrorisme
નાઝીવાદ	Nazisme
વાસ્કો દ ગામા	Vasco de Gama
સિંધુ	Indus
કાન	Oreille
આંખ	Œil
ગીત	Chanson
હાથી	Éléphant
કીડી	Fourmi
આન્દ્રે અગાસી	Andre Agassi
રીંગણ	Aubergine
હિમવર્ષા	Neige
ડેબિયન	Debian
વિશ્વ વેપાર સંગઠન	Organisation mondiale du commerce
ચાઇનીઝ ભાષા	Langues chinoises
કુદરત	Nature
રક્ત	Sang
કંકાલતંત્ર	Squelette
ફેફસાં	Poumon
મેઘ	Pluie
વૈશ્વિક ઉષ્ણતા	Réchauffement climatique
ધરતીકંપ	Séisme
સત્ય	Vérité
કોમ્પ્યુટર માઉસ	Souris (informatique)
નેલ્સન મંડેલા	Nelson Mandela
માર્ટિન લ્યૂથર કિંગ	Martin Luther King
અવતરણ ચિહ્ન	Guillemet
કુદરતી આફતો	Catastrophe naturelle
પૂર	Inondation
સુનામી	Tsunami
જ્વાળામુખી	Volcan
વાદળ	Nuage
ત્રિકોણમિતિ	Trigonométrie
ભૂમિતિ	Géométrie
તેલુગુ ભાષા	Télougou
ગ્રીક મૂળાક્ષરો	Alphabet grec
શ્રેણી:ફ્રાન્સ	Catégorie:France
શ્રેણી:સંગીત	Catégorie:Musique
શ્રેણી:સાહિત્ય	Catégorie:Littérature
નવલકથા	Roman (littérature)
મહાભારત	Mahabharata
પોપટ	Perruche
હેરી પોટર	Harry Potter
મશક વાજું	Cornemuse
પીડોફિલિયા (બાળ યૌનશોષણ)	Pédophilie
સિકંદર	Alexandre le Grand
સંસ્કૃતિ	Civilisation
પુરુષ	Homme
લગ્ન	Mariage
ફાંસીની સજા	Peine de mort
ગુલામી પ્રથા	Esclavage
દૂધ	Lait
પર્વત	Montagne
અશોક	Ashoka
અકબર	Akbar
હોંગકોંગ	Hong Kong
કરાચી	Karachi
લાગોસ	Lagos (Nigeria)
આર્કિમીડીઝ	Archimède
થૉમસ ઍડિસન	Thomas Edison
યુક્લિડ	Euclide
ડોમેન નામ પ્રણાલી	Domain Name System
સંકેતલિપિ	Cryptographie
ઈન્ટરનેટ પ્રોટોકોલ	Internet Protocol
પ્રસારણ નિયંત્રણ પ્રોટોકોલ	Transmission Control Protocol
યુનિકોડ	Unicode
સત્યજીત રે	Satyajit Ray
નક્ષત્ર	Constellation
નૉર્વેજિયન ભાષા	Norvégien
ચાણક્ય	Chanakya
બાગમતી પ્રાંત (નેપાળ)	Bagmati (zone)
નોઆમ ચોમ્સ્કી	Noam Chomsky
ભેરી પ્રાંત (નેપાળ)	Bheri (zone)
મુસા	Moïse
ધવલાગિરી પ્રાંત (નેપાળ)	Dhawalagiri (zone)
હિંદુ ધર્મ	Hindouisme
અણુ	Atome
પ્રકાશ	Lumière
ગંડકી પ્રાંત (નેપાળ)	Gandaki (zone)
તાજ મહેલ	Taj Mahal
જનકપુર પ્રાંત (નેપાળ)	Janakpur (zone)
ઇ-મેઇલ	Courrier électronique
કર્ણાલી પ્રાંત (નેપાળ)	Karnali (zone)
ફારસી ભાષા	Persan
કોશી પ્રાંત (નેપાળ)	Koshi (zone)
લુમ્બિની પ્રાંત (નેપાળ)	Lumbinî (zone)
મહાકાલી પ્રાંત (નેપાળ)	Mahakali (zone)
મેચી પ્રાંત (નેપાળ)	Mechi (zone)
ઇબ્રાહિમ	Abraham
નારાયણી પ્રાંત (નેપાળ)	Narayani (zone)
રાપ્તી પ્રાંત (નેપાળ)	Rapti (zone)
સગરમાથા પ્રાંત (નેપાળ)	Sagarmatha (zone)
સેતી પ્રાંત (નેપાળ)	Seti (zone)
યુનાઇટેડ સ્ટેટ્સ આર્મી	United States Army
લુમ્બિની	Lumbini
જૈન ધર્મ	Jaïnisme
યહૂદી ધર્મ	Judaïsme
લાઓત્સે	Lao Tseu
જીમેઇલ	Gmail
યોગ	Yoga
સિમા કીઆન	Sima Qian
નવકાર મંત્ર	Namaskara Mantra
મનોવિજ્ઞાન	Psychologie
મહાવીર સ્વામી	Mahāvīra
ટિમ્બક્ટુ	Tombouctou
ઋષભ દેવ	Rishabhanatha
દિગંબર	Sectes Digambara
લોથલ	Lothal
વલ્લભભાઈ પટેલ	Sardar Vallabhbhai Patel
મુહમ્મદ	Mahomet
ધોળાવીરા	Dholavira
આઇપોડ	IPod
સચિન તેંડુલકર	Sachin Tendulkar
અબ્દુલ કલામ	Avul Pakir Jainulabdeen Abdul Kalam
બીબીસી	British Broadcasting Corporation
શાહરૂખ ખાન	Shahrukh Khan
સલમાન ખાન	Salman Khan
કૅટરિના કૈફ	Katrina Kaif
આમિર ખાન	Aamir Khan
અમિતાભ બચ્ચન	Amitabh Bachchan
કન્ફયુસીયસ ધર્મ	Confucianisme
તાઓ ધર્મ	Taoïsme
જરથોસ્તી ધર્મ	Zoroastrisme
બંગાળી ભાષા	Bengali
જીભ	Langue (anatomie humaine)
ચેલ્સી ફૂટબોલ ક્લબ	Chelsea Football Club
આર્સેનલ ફૂટબોલ ક્લબ	Arsenal Football Club
સ્વાદુપિંડ	Pancréas
ફૉકલેન્ડ ટાપુઓ	Îles Malouines
બ્લૂઝ	Blues
ઇરોડ	Erode
સેલમ	Salem (Tamil Nadu)
કોઇમ્બતુર	Coimbatore
ઊટકામંડ	Ooty
મૈસૂર	Mysore
નીલગિરિ	Nîlgîri (Tamil Nadu)
રફેલ નડાલ	Rafael Nadal
રાહુલ ગાંધી	Rahul Gandhi
ભારતીય રાષ્ટ્રીય કોંગ્રેસ	Congrès national indien
ભારતીય જનતા પાર્ટી	Bharatiya Janata Party
દિવાળી	Divali
દરિયાઈ બોગદું (ઇંગ્લેન્ડ-ફ્રાન્સ)	Tunnel sous la Manche
હોળી	Holi
પાયથાગોરસ	Pythagore
નવરાત્રી	Navratri
દશેરા	Dussehra
કુંભ મેળો	Kumbh Mela
કોલોસીયમ	Colisée
સપ્તર્ષિ	Grande Casserole
ડેવિડ બેકહામ	David Beckham
આવર્ત કોષ્ટક	Tableau périodique des éléments
કબૂતર	Columbidae
અંધાપો	Cécité
ચીઝ	Fromage
દ્રાક્ષ	Raisin
ટાઇગર વુડ્સ	Tiger Woods
બટાકાં	Pomme de terre
શાકભાજી	Légume
સ્નૂકર	Snooker
ઇજનેરી	Ingénierie
પ્રત્યાયન	Communication
સંસ્કૃત ભાષા	Sanskrit
રુધિરાભિસરણ તંત્ર	Appareil cardiovasculaire
IPv4	IPv4
IP એડ્રેસ	Adresse IP
પ્રશ્નચિહ્ન	Point d'interrogation
વર્લ્ડ ટ્રેડ સેન્ટર	World Trade Center
ફ્રિડમ ટાવર	One World Trade Center
મીઠું	Sel alimentaire
ફિડલ કાસ્ટ્રો	Fidel Castro
મેનહટન	Manhattan
તત્વ	Élément chimique
આર્યભટ્ટ	Aryabhata
શિવ	Shiva
વિષ્ણુ	Vishnou
લોકલ એરિયા નેટવર્ક	Réseau local
વાઈડ એરિયા નેટવર્ક	Réseau étendu
વિદ્યુત-ચુંબકીય તરંગો	Rayonnement électromagnétique
બ્રહ્મા	Brahmā
બળ	Force (physique)
ચુંબકીયક્ષેત્ર	Champ magnétique
ગુરુત્વાકર્ષણ	Gravitation
માર્શલ આર્ટસ	Art martial
જુડો	Judo
દળ	Masse
ધાતુ	Métal
વાયુ	Gaz
પ્રવાહી	Liquide
ઘન	État solide
કૃષિ	Agriculture
કપાસ	Coton
કપડાં	Vêtement
તાપમાન	Température
ધાતુશાસ્ત્ર	Métallurgie
કાગળ	Papier
ક્ષેત્રફળ	Aire (géométrie)
દેનપસાર	Denpasar
સેકન્ડ	Seconde (temps)
મકાઈ	Maïs
માટીકામ	Poterie
સ્ટેફી ગ્રાફ	Steffi Graf
હવામાન	Temps (météorologie)
લાહોર	Lahore
મેસોપોટેમીયા	Mésopotamie
પ્રાચીન ઇજિપ્ત	Égypte antique
ગુપ્ત સામ્રાજ્ય	Empire Gupta
સ્લીપિંગ બ્યૂટી	La Belle au bois dormant
સિન્ડ્રેલા	Cendrillon
રાજકોટ	Rajkot
જુનાગઢ	Junagadh
વડોદરા	Vadodara
ગાંધીનગર	Gandhinagar
મિકી માઉસ	Mickey Mouse
પ્રકાશસંશ્લેષણ	Photosynthèse
કર્કરોગ (કેન્સર)	Cancer
ઘઉં	Blé
બધિરતા	Surdité
ગ્રેગોરીયન પંચાંગ	Calendrier grégorien
નિકોટિન	Nicotine
હૃદયરોગનો હુમલો	Infarctus du myocarde
મલેરિયા	Paludisme
કુપોષણ	Malnutrition
ગુપ્તરોગ	Infection sexuellement transmissible
એડ્સ	Syndrome d'immunodéficience acquise
ક્ષય રોગ	Tuberculose
મધુપ્રમેહ	Diabète sucré
ઢાંચો:Location map India	Modèle:Géolocalisation/Inde
જાન્યુઆરી ૦	0 janvier
બુર્જ દુબઈ	Burj Khalifa
ચીનની મહાન દિવાલ	Grande Muraille
પિરામિડ	Pyramide (architecture)
ફેશન	Mode (habillement)
તલવાર	Épée
પેલે	Pelé
જયોર્જ સોરોસ	George Soros
વિનોબા ભાવે	Vinoba Bhave
