अफ्रीका	Afrique
१७ जुलाई	17 juillet
१८ जुलाई	18 juillet
१६ जुलाई	16 juillet
फुटबल खेल	Football
२५ डिसेम्बर	25 décembre
सन् १९६३	1963
२६ डिसेम्बर	26 décembre
सन् १९६२	1962
आइफोन	IPhone
१४ अगस्ट	14 août
१५ अगस्ट	15 août
१३ अगस्ट	13 août
१२ अगस्ट	12 août
११ अगस्ट	11 août
१० अगस्ट	10 août
८ अगस्ट	8 août
७ अगस्ट	7 août
९ अगस्ट	9 août
५ अगस्ट	5 août
४ अगस्ट	4 août
२ अगस्ट	2 août
३ अगस्ट	3 août
६ अगस्ट	6 août
१ अगस्ट	1er août
आइप्याड	IPad
२७ डिसेम्बर	27 décembre
म्याड्रिड	Madrid
१६ अगस्ट	16 août
कोका-कोला	Coca-Cola
२९ अगस्ट	29 août
२८ अगस्ट	28 août
३० अगस्ट	30 août
२५ अगस्ट	25 août
२६ अगस्ट	26 août
२३ अगस्ट	23 août
२७ अगस्ट	27 août
२१ अगस्ट	21 août
२० अगस्ट	20 août
२४ अगस्ट	24 août
१८ अगस्ट	18 août
१७ अगस्ट	17 août
२२ अगस्ट	22 août
१९ अगस्ट	19 août
३१ अगस्ट	31 août
माइकल ज्याक्सन	Michael Jackson
२८ डिसेम्बर	28 décembre
इनफ्लुएंजा	Grippe
ब्रसिलिया	Brasilia
चरेस (लागुपदार्थ)	Cannabis (drogue)
१५ सेप्टेम्बर	15 septembre
१४ सेप्टेम्बर	14 septembre
१३ सेप्टेम्बर	13 septembre
१२ सेप्टेम्बर	12 septembre
८ सेप्टेम्बर	8 septembre
११ सेप्टेम्बर	11 septembre
७ सेप्टेम्बर	7 septembre
१० सेप्टेम्बर	10 septembre
५ सेप्टेम्बर	5 septembre
४ सेप्टेम्बर	4 septembre
९ सेप्टेम्बर	9 septembre
२ सेप्टेम्बर	2 septembre
६ सेप्टेम्बर	6 septembre
१ सेप्टेम्बर	1er septembre
३ सेप्टेम्बर	3 septembre
२९ डिसेम्बर	29 décembre
गन विथ द विण्ड	Autant en emporte le vent
३० सेप्टेम्बर	30 septembre
२९ सेप्टेम्बर	29 septembre
२८ सेप्टेम्बर	28 septembre
२७ सेप्टेम्बर	27 septembre
२६ सेप्टेम्बर	26 septembre
२५ सेप्टेम्बर	25 septembre
२३ सेप्टेम्बर	23 septembre
२२ सेप्टेम्बर	22 septembre
२४ सेप्टेम्बर	24 septembre
२१ सेप्टेम्बर	21 septembre
२० सेप्टेम्बर	20 septembre
१८ सेप्टेम्बर	18 septembre
१७ सेप्टेम्बर	17 septembre
१९ सेप्टेम्बर	19 septembre
१६ सेप्टेम्बर	16 septembre
३० डिसेम्बर	30 décembre
३१ डिसेम्बर	31 décembre
१ अक्टोबर	1er octobre
१५ अक्टोबर	15 octobre
१२ अक्टोबर	12 octobre
१० अक्टोबर	10 octobre
१४ अक्टोबर	14 octobre
९ अक्टोबर	9 octobre
८ अक्टोबर	8 octobre
१३ अक्टोबर	13 octobre
७ अक्टोबर	7 octobre
११ अक्टोबर	11 octobre
६ अक्टोबर	6 octobre
४ अक्टोबर	4 octobre
५ अक्टोबर	5 octobre
३ अक्टोबर	3 octobre
२ अक्टोबर	2 octobre
बाख्रा	Chèvre
३१ अक्टोबर	31 octobre
३० अक्टोबर	30 octobre
२८ अक्टोबर	28 octobre
२६ अक्टोबर	26 octobre
२५ अक्टोबर	25 octobre
२४ अक्टोबर	24 octobre
२७ अक्टोबर	27 octobre
२२ अक्टोबर	22 octobre
२३ अक्टोबर	23 octobre
२० अक्टोबर	20 octobre
२१ अक्टोबर	21 octobre
१९ अक्टोबर	19 octobre
१७ अक्टोबर	17 octobre
१६ अक्टोबर	16 octobre
१८ अक्टोबर	18 octobre
१५ नोभेम्बर	15 novembre
१४ नोभेम्बर	14 novembre
१३ नोभेम्बर	13 novembre
१२ नोभेम्बर	12 novembre
११ नोभेम्बर	11 novembre
१० नोभेम्बर	10 novembre
७ नोभेम्बर	7 novembre
८ नोभेम्बर	8 novembre
९ नोभेम्बर	9 novembre
६ नोभेम्बर	6 novembre
५ नोभेम्बर	5 novembre
४ नोभेम्बर	4 novembre
३ नोभेम्बर	3 novembre
२ नोभेम्बर	2 novembre
१ नोभेम्बर	1er novembre
३० नोभेम्बर	30 novembre
२९ नोभेम्बर	29 novembre
२८ नोभेम्बर	28 novembre
२७ नोभेम्बर	27 novembre
२६ नोभेम्बर	26 novembre
२५ नोभेम्बर	25 novembre
२३ नोभेम्बर	23 novembre
२४ नोभेम्बर	24 novembre
२१ नोभेम्बर	21 novembre
२० नोभेम्बर	20 novembre
२२ नोभेम्बर	22 novembre
१९ नोभेम्बर	19 novembre
१८ नोभेम्बर	18 novembre
१७ नोभेम्बर	17 novembre
१६ नोभेम्बर	16 novembre
काठमाडौं	Katmandou
क्यानबरा	Canberra
सिड्नी	Sydney
हरियो	Vert
रातो	Rouge
आगो	Feu
फोटोन	Photon
पश्चिमी अस्ट्रेलिया	Australie-Occidentale
न्यू साउथ वेल्स	Nouvelle-Galles du Sud
अस्ट्रेलियन राजधानी क्षेत्र	Territoire de la capitale australienne
नाइल नदी	Nil
व्याध तारा	Sirius
ककडी	Kakadi
अभिजित तारा	Véga
मुख्य अनुक्रम	Séquence principale
लामपुछ्रे तारा	Comète
अल्जीएर्स	Alger
नेटवर्क ग्लोबो	Rede Globo
तेहरान	Téhéran
जाकार्ता	Jakarta
अंकारा	Ankara
रियाद	Riyad
सन् १९६१	1961
श्रेणी:टेम्पलेट	Catégorie:Espace Modèle
सन् १९६०	1960
फ्रेन्च गुयना	Guyane
अमेजन नदी	Amazone (fleuve)
निकोज्या	Nicosie
दोहा	Doha
द्वयधारी संख्या	Système binaire
विश्वविद्यालय	Université
विकिपीडिया:प्रयोगस्थल	Wikipédia:Bac à sable
स्थानीय समूह	Groupe local
विकिपीडिया:स्वागत	Aide:Premiers pas
घर	Maison
ल्याप्टप	Ordinateur portable
कम्प्युटर हार्डवेर	Matériel informatique
बिजगणित	Algèbre
नदी	Rivière
ई.पू. ३६	36 av. J.-C.
ई.पू. २०	20 av. J.-C.
ई.पू. ४०	40 av. J.-C.
ई.पू. ३९	39 av. J.-C.
ई.पू. ३७	37 av. J.-C.
ई.पू. २२	22 av. J.-C.
तिक्ताति	Ammoniac
ई.पू. ३८	38 av. J.-C.
ई.पू. २८	28 av. J.-C.
ई.पू. १८	18 av. J.-C.
ई.पू. १५	15 av. J.-C.
ई.पू. ३३	33 av. J.-C.
ई.पू. ३०	30 av. J.-C.
ई.पू. १२	12 av. J.-C.
दोङ होइ विमानस्थल (भियतनाम)	Aéroport de Đồng Hới
अन्तरिक्ष	Espace (cosmologie)
ई.पू. ४५	45 av. J.-C.
ई.पू. ४६	46 av. J.-C.
ई.पू. ४१	41 av. J.-C.
ई.पू. ४९	49 av. J.-C.
ई.पू. ४२	42 av. J.-C.
फेलिक्स बौमगार्टनर	Felix Baumgartner
ई.पू. २५	25 av. J.-C.
ई.पू. ४७	47 av. J.-C.
ई.पू. १०	10 av. J.-C.
माइली साइरस	Miley Cyrus
रेडियो तरंग	Onde radio
श्रेणी:नेपालको इतिहास	Catégorie:Histoire du Népal
जंगल	Forêt
हार्ड डिस्क	Disque dur
जोएचिम लो	Joachim Löw
कोटायक प्रान्त	Kotayk
महाबोधी मन्दिर	Temple de la Mahabodhi
बिच भलिवल	Beach-volley
डेनियल क्राइग	Daniel Craig
फ़र्रूख़ाबाद	Farrukhabad
राजीव गान्धी	Rajiv Gandhi
कन्फुसियस	Confucius
मर्लिन मुनरो	Marilyn Monroe
कोर्बिन ब्लू	Corbin Bleu
श्रेणी:गणित	Catégorie:Mathématiques
फरोइ टापु	Îles Féroé
ई.पू. १०७	107 av. J.-C.
ई.पू. १४३	143 av. J.-C.
ई.पू. १२६	126 av. J.-C.
ई.पू. ११६	116 av. J.-C.
ई.पू. १३६	136 av. J.-C.
लक्ष्मण सारस	Grue cendrée
ई.पू. ११३	113 av. J.-C.
ई.पू. १४०	140 av. J.-C.
ई.पू. १५०	150 av. J.-C.
ई.पू. १३०	130 av. J.-C.
सन् १४८८	1488
युरो	Euro
लेरी पेज	Larry Page
जर्जिया (स्पष्टता)	Georgia
ईसाई धर्म	Christianisme
विन्डोज ८	Windows 8
ढाँचा:एशिया	Modèle:Palette Pays d'Asie
बर्लिन पर्खाल	Mur de Berlin
दुर्गापुर	Durgapur
गंगा नदी	Gange
चामल	Riz
सेलिन डियोन	Céline Dion
महादेश	Continent
चरा	Oiseau
राजधानी	Capitale
ढाँचा:Lang-tr	Modèle:Lang-tr
महिना	Mois
ढाँचा:Portal	Modèle:Portail
सन् १९४८	1948
ढाँचा:Regions of the world	Modèle:Palette Régions du monde
गोलो जुका	Nematoda
सन् १९४९	1949
अल्माजान	Almazán
सन् १९५६	1956
सन् १२००	1200
सन् १९४१	1941
सन् १९४५	1945
सन् १९५८	1958
सन् १९२६	1926
सन् १९४७	1947
सन् १९४४	1944
सन् १९५२	1952
हिरा	Diamant
बिल गेट्स	Bill Gates
विश्वकोष	Encyclopédie
डि भी डि	DVD
र्‍याम	Mémoire vive
मुख्य पृष्ठ	Wikipédia:Accueil principal
सन् १९५९	1959
ढाँचा:Good article	Modèle:Bon article
सन् १९५७	1957
बास्केटबल	Basket-ball
क्रिकेट	Cricket
१२२३	1223
१२२४	1224
१२२५	1225
सन् १२२६	1226
