Afraga	Afrique
Éanna Ó Coinnigh	Enda Kenny
Skedsmo	Skedsmo
Na Trì Nàiseanan	The Rugby Championship
Duran Duran	Duran Duran
Liam Neeson	Liam Neeson
Punjabi (cànan)	Pendjabi
Torc fiadhach	Sanglier
Bò Ghàidhealach	Highland (race bovine)
Cogadh a' Chaidreachais Thrìpilte	Guerre de la Triple Alliance
Dà-theangachas	Diglossie
Artur Balder	Artur Balder
Robert Redford	Robert Redford
Northland Region	Northland (région)
Breatainn Nuadh	Nouvelle-Bretagne
Wicca	Wicca
Albertus Magnus	Albert le Grand
Venkatraman Ramakrishnan	Venkatraman Ramakrishnan
Gerhard Ertl	Gerhard Ertl
1150an	Années 1150
1030an	Années 1030
1050an	Années 1050
Peacadh	Péché
Meppel	Meppel
Napa, Calafòrnia	Napa (Californie)
Martin Kaymer	Martin Kaymer
Earball	Queue (anatomie)
Crawford County, Arkansas	Comté de Crawford (Arkansas)
Fulton County, Arkansas	Comté de Fulton (Arkansas)
Boone County, Arkansas	Comté de Boone (Arkansas)
Dallas County, Arkansas	Comté de Dallas (Arkansas)
Jackson County, Arkansas	Comté de Jackson (Arkansas)
Greene County, Arkansas	Comté de Greene (Arkansas)
Benton County, Arkansas	Comté de Benton (Arkansas)
Bradley County, Arkansas	Comté de Bradley (Arkansas)
Ashley County, Arkansas	Comté d'Ashley
Desha County, Arkansas	Comté de Desha
Cleveland County, Arkansas	Comté de Cleveland (Arkansas)
Howard County, Arkansas	Comté de Howard (Arkansas)
Cross County, Arkansas	Comté de Cross
Cleburne County, Arkansas	Comté de Cleburne (Arkansas)
Izard County, Arkansas	Comté d'Izard
Johnson County, Arkansas	Comté de Johnson (Arkansas)
Garland County, Arkansas	Comté de Garland
Franklin County, Arkansas	Comté de Franklin (Arkansas)
Baxter County, Arkansas	Comté de Baxter
Union County, Arkansas	Comté d'Union (Arkansas)
Perry County, Arkansas	Comté de Perry (Arkansas)
Scott County, Arkansas	Comté de Scott (Arkansas)
Ouachita County, Arkansas	Comté de Ouachita
Lonoke County, Arkansas	Comté de Lonoke
St. Francis County, Arkansas	Comté de Saint Francis
Washington County, Arkansas	Comté de Washington (Arkansas)
Lee County, Arkansas	Comté de Lee (Arkansas)
Poinsett County, Arkansas	Comté de Poinsett
Mississippi County, Arkansas	Comté de Mississippi (Arkansas)
Pulaski County, Arkansas	Comté de Pulaski (Arkansas)
Stone County, Arkansas	Comté de Stone (Arkansas)
Lafayette County, Arkansas	Comté de Lafayette (Arkansas)
White County, Arkansas	Comté de White (Arkansas)
Marion County, Arkansas	Comté de Marion (Arkansas)
Sebastian County, Arkansas	Comté de Sebastian
Monroe County, Arkansas	Comté de Monroe (Arkansas)
Clark County, Arkansas	Comté de Clark (Arkansas)
Pike County, Arkansas	Comté de Pike (Arkansas)
Woodruff County, Arkansas	Comté de Woodruff
Carroll County, Arkansas	Comté de Carroll (Arkansas)
Jefferson County, Arkansas	Comté de Jefferson (Arkansas)
Grant County, Arkansas	Comté de Grant (Arkansas)
Pope County, Arkansas	Comté de Pope (Arkansas)
Yell County, Arkansas	Comté de Yell
Saline County, Arkansas	Comté de Saline (Arkansas)
Clay County, Arkansas	Comté de Clay (Arkansas)
Lawrence County, Arkansas	Comté de Lawrence (Arkansas)
Crittenden County, Arkansas	Comté de Crittenden (Arkansas)
Hot Spring County, Arkansas	Comté de Hot Spring
Independence County, Arkansas	Comté d'Independence
Conway County, Arkansas	Comté de Conway
Craighead County, Arkansas	Comté de Craighead
Hempstead County, Arkansas	Comté de Hempstead
Columbia County, Arkansas	Comté de Columbia (Arkansas)
Logan County, Arkansas	Comté de Logan (Arkansas)
Randolph County, Arkansas	Comté de Randolph (Arkansas)
Polk County, Arkansas	Comté de Polk (Arkansas)
Newton County, Arkansas	Comté de Newton (Arkansas)
Searcy County, Arkansas	Comté de Searcy
Miller County, Arkansas	Comté de Miller (Arkansas)
Sevier County, Arkansas	Comté de Sevier (Arkansas)
Arkansas County, Arkansas	Comté d'Arkansas
Jonesboro, Arkansas	Jonesboro (Arkansas)
Chicot County, Arkansas	Comté de Chicot
Calhoun County, Arkansas	Comté de Calhoun (Arkansas)
Faulkner County, Arkansas	Comté de Faulkner
Phillips County, Arkansas	Comté de Phillips (Arkansas)
Prairie County, Arkansas	Comté de Prairie (Arkansas)
Sharp County, Arkansas	Comté de Sharp
Madison County, Arkansas	Comté de Madison (Arkansas)
Nevada County, Arkansas	Comté de Nevada (Arkansas)
Van Buren County, Arkansas	Comté de Van Buren (Arkansas)
Montgomery County, Arkansas	Comté de Montgomery (Arkansas)
Little River County, Arkansas	Comté de Little River
Mion-chànanan	Langue minoritaire
Starnberg	Starnberg
Spàirneag	Conque
Barranquilla	Barranquilla
Jeroen Krabbé	Jeroen Krabbé
Mason County, Michigan	Comté de Mason (Michigan)
Muskegon County, Michigan	Comté de Muskegon
Jan von Werth	Jean de Werth
Delémont	Delémont
Glarus	Glaris Centre
Vernier	Vernier (Genève)
Stans	Stans
Oceana County, Michigan	Comté d'Oceana
Osceola County, Michigan	Comté d'Osceola (Michigan)
Sarnen	Sarnen
Herisau	Herisau
Uster	Uster
Bellinzona	Bellinzone
Köniz	Köniz
Aarberg	Aarberg
Teòirim	Théorème
Bloigh (matamataig)	Fraction (mathématiques)
Niccolò Paganini	Niccolò Paganini
Abhlan coisrigte	Eucharistie
Clayton, Alabama	Clayton (Alabama)
Chatom, Alabama	Chatom
Grove Hill, Alabama	Grove Hill
Rockford, Alabama	Rockford (Alabama)
Hayneville, Alabama	Hayneville
Tavau	Davos
Frauenfeld	Frauenfeld
La Chaux-de-Fonds	La Chaux-de-Fonds
Sion	Sion (Valais)
Zug	Zoug (ville)
Altdorf	Altdorf (Uri)
Schwyz	Schwytz (ville)
Vevey	Vevey
Double Springs, Alabama	Double Springs
Otto Sander	Otto Sander
Hawaii (eilean)	Hawaï (île)
Einsiedeln	Einsiedeln
Solothurn	Soleure
Liestal	Liestal
Thun	Thoune
Ciura	Coire
Genolier	Genolier
Neuchâtel	Neuchâtel
Tolochenaz	Tolochenaz
Mammern	Mammern
Muralto	Muralto
Gnìomhair neo-riaghailteach	Verbe irrégulier
Hermann Emil Fischer	Emil Fischer
Robert Bunsen	Robert Wilhelm Bunsen
Salamanca (provincia)	Province de Salamanque
Valladolid (provincia)	Province de Valladolid
Clark Gable	Clark Gable
Dromadair	Dromadaire
Hollywood Walk of Fame	Walk of Fame (Hollywood)
An Oriant	Lorient
1370an	Années 1370
Toni Morrison	Toni Morrison
Blonag	Saindoux
Iarnród Éireann	Iarnród Éireann
Paul Karrer	Paul Karrer
Cingoli	Cingoli
The Hobbit	Le Hobbit
Newaygo County, Michigan	Comté de Newaygo
Hobbit	Hobbit
Midland County, Michigan	Comté de Midland (Michigan)
Mecosta County, Michigan	Comté de Mecosta
Butler, Alabama	Butler (Alabama)
Àrd-thìr	Plateau (géographie)
Miguel Ángel Asturias	Miguel Ángel Asturias
Isaac Bashevis Singer	Isaac Bashevis Singer
Clas Buirdeasach Beag	Petite bourgeoisie
Builgean	Bulle physique
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Rainer Maria Rilke	Rainer Maria Rilke
Paul Johann Ludwig von Heyse	Paul Johann Ludwig von Heyse
Hans Fallada	Hans Fallada
Kurt Alder	Kurt Alder
Richard August Carl Emil Erlenmeyer	Emil Erlenmeyer
Manfred Eigen	Manfred Eigen
Franz Joseph Emil Fischer	Franz Fischer
Gerhard Herzberg	Gerhard Herzberg
Hans Fischer	Hans Fischer
Carl Bosch	Carl Bosch
Friedrich Hoffmann	Friedrich Hoffmann
Heinrich Otto Wieland	Heinrich Otto Wieland
Johann Deisenhofer	Johann Deisenhofer
Hans von Euler-Chelpin	Hans von Euler-Chelpin
Friedrich Bergius	Friedrich Bergius
Otto Paul Hermann Diels	Otto Diels
Adolph Wilhelm Hermann Kolbe	Adolph Wilhelm Hermann Kolbe
Viktor Meyer	Viktor Meyer
Robert Huber	Robert Huber
Karl Ziegler	Karl Ziegler
Robert Havemann	Robert Havemann
Heinrich Caro	Heinrich Caro
Theodor Fontane	Theodor Fontane
Richard Abegg	Richard Abegg
Friedrich August Kekulé von Stradonitz	Friedrich Kekulé von Stradonitz
Lee Marvin	Lee Marvin
George de Hevesy	George de Hevesy
Richard Martin Willstatter	Richard Willstätter
Lothar Meyer	Julius Lothar Meyer
Hartmut Michel	Hartmut Michel
Adolf Otto Reinhold Windaus	Adolf Windaus
Georg Wittig	Georg Wittig
Carl Remigius Fresenius	Carl Remigius Fresenius
Emil Knoevenagel	Emil Knoevenagel
Max Ferdinand Perutz	Max Ferdinand Perutz
Richard Adolf Zsigmondy	Richard Adolf Zsigmondy
Fritz Pregl	Fritz Pregl
Richard Kuhn	Richard Kuhn
Arthur Koestler	Arthur Koestler
Walter Kohn	Walter Kohn
Walter Scott	Walter Scott
Caisteal Chiosmuil	Château de Kisimul
Caisteal Eilean Donnain	Eilean Donan
Eutaw, Alabama	Eutaw
Morrilton, Arkansas	Morrilton
Moulton, Alabama	Moulton (Alabama)
Linden, Alabama	Linden (Alabama)
Phenix City, Alabama	Phenix City
Centreville, Alabama	Centreville (Alabama)
Greensboro, Alabama	Greensboro (Alabama)
Enterprise, Alabama	Enterprise (Alabama)
Marion, Arkansas	Marion (Arkansas)
Star City, Arkansas	Star City (Arkansas)
Ash Flat, Arkansas	Ash Flat
Nashville, Arkansas	Nashville (Arkansas)
Hampton, Arkansas	Hampton (Arkansas)
Rison, Arkansas	Rison
Charleston, Arkansas	Charleston (Arkansas)
Lake Village, Arkansas	Lake Village
Mount Ida, Arkansas	Mount Ida
Clanton, Alabama	Clanton (Alabama)
De Witt, Arkansas	De Witt (Arkansas)
Fayette, Alabama	Fayette (Alabama)
Benton, Arkansas	Benton (Arkansas)
Mountain Home, Arkansas	Mountain Home (Arkansas)
Waldron, Arkansas	Waldron (Arkansas)
Dillingham, Alasca	Dillingham
Paragould, Arkansas	Paragould
Camden, Alabama	Camden (Alabama)
Gadsden, Alabama	Gadsden (Alabama)
Soldotna, Alasca	Soldotna
Blytheville, Arkansas	Blytheville
Forrest City, Arkansas	Forrest City (Arkansas)
De Queen, Arkansas	De Queen
Newport, Arkansas	Newport (Arkansas)
Berryville, Arkansas	Berryville (Arkansas)
Monticello, Arkansas	Monticello (Arkansas)
Danville, Arkansas	Danville (Arkansas)
Kenai, Alasca	Kenai (Alaska)
Cabot, Arkansas	Cabot (Arkansas)
Russellville, Arkansas	Russellville (Arkansas)
Lake Havasu City, Arizona	Lake Havasu City
Texarkana, Arkansas	Texarkana (Arkansas)
Homer, Alasca	Homer (Alaska)
Arkansas City, Arkansas	Arkansas City (Arkansas)
Camden, Arkansas	Camden (Arkansas)
Melbourne, Arkansas	Melbourne (Arkansas)
Hamilton, Alabama	Hamilton (Alabama)
Yellville, Arkansas	Yellville
Arkadelphia, Arkansas	Arkadelphia
Corning, Arkansas	Corning (Arkansas)
Augusta, Arkansas	Augusta (Arkansas)
Cullman, Alabama	Cullman
Elba, Alabama	Elba (Alabama)
El Dorado, Arkansas	El Dorado (Arkansas)
Rogers, Arkansas	Rogers (Arkansas)
Mountain View, Arkansas	Mountain View (Arkansas)
Prattville, Alabama	Prattville (Alabama)
Marshall, Arkansas	Marshall (Arkansas)
Perryville, Arkansas	Perryville (Arkansas)
Dothan, Alabama	Dothan (Alabama)
Dardanelle, Arkansas	Dardanelle
Clarendon, Arkansas	Clarendon (Arkansas)
Fort Smith, Arkansas	Fort Smith (Arkansas)
Guntersville, Alabama	Guntersville
Magnolia, Arkansas	Magnolia (Arkansas)
Mena, Arkansas	Mena (Arkansas)
Scottsboro, Alabama	Scottsboro
Marianna, Arkansas	Marianna (Arkansas)
Pell City, Alabama	Pell City
Livingston, Alabama	Livingston (Alabama)
Jasper, Arkansas	Jasper (Arkansas)
Booneville, Arkansas	Booneville (Arkansas)
Brewton, Alabama	Brewton (Alabama)
Evergreen, Alabama	Evergreen (Comté de Conecuh, Alabama)
Lewisville, Arkansas	Lewisville (Arkansas)
Fairbanks, Alasca	Fairbanks (Alaska)
Salem, Arkansas	Salem (comté de Fulton)
Centre, Alabama	Centre (Alabama)
Harrisburg, Arkansas	Harrisburg (Arkansas)
Fort Payne, Alabama	Fort Payne
Hamburg, Arkansas	Hamburg (Arkansas)
Warren, Arkansas	Warren (Arkansas)
Heflin, Alabama	Heflin (Alabama)
Helena-West Helena, Arkansas	Helena-West Helena
Sherwood, Arkansas	Sherwood (Arkansas)
Batesville, Arkansas	Batesville (Arkansas)
Jacksonville, Arkansas	Jacksonville (Arkansas)
Malvern, Arkansas	Malvern (Arkansas)
Van Buren, Arkansas	Van Buren (Arkansas)
Searcy, Arkansas	Searcy (Arkansas)
Springdale, Arkansas	Springdale (Arkansas)
Winslow, Arizona	Winslow (Arizona)
Kingman, Arizona	Kingman (Arizona)
Florence, Alabama	Florence (Alabama)
1230an	Années 1230
Decatur, Alabama	Decatur (Alabama)
Safford, Arizona	Safford (Arizona)
Bay Minette, Alabama	Bay Minette
Nogales, Arizona	Nogales (Arizona)
930an	Années 930
Gearra-mhuc	Cavia porcellus
Sitka, Alasca	Sitka
Barrow, Alasca	Barrow (Alaska)
Kotzebue, Alasca	Kotzebue (Alaska)
Mulhouse	Mulhouse
St. Johns, Arizona	Saint Johns (Arizona)
Canaib	Cannabis
Yuma, Arizona	Yuma (Arizona)
1390an	Années 1390
Globe, Arizona	Globe (Arizona)
Eureka Springs, Arkansas	Eureka Springs
Bogsa-ciùil	Accordéon
Stuttgart, Arkansas	Stuttgart (Arkansas)
Palmer, Alasca	Palmer (Alaska)
Luverne, Alabama	Luverne (Alabama)
Conway, Arkansas	Conway (Arkansas)
Huntsville, Alabama	Huntsville (Alabama)
Birmingham, Alabama	Birmingham (Alabama)
Murfreesboro, Arkansas	Murfreesboro (Arkansas)
Braille	Braille
North Little Rock, Arkansas	North Little Rock
Walnut Ridge, Arkansas	Walnut Ridge
Holbrook, Arizona	Holbrook (Arizona)
Des Arc, Arkansas	Des Arc (Arkansas)
Paris, Arkansas	Paris (Arkansas)
Seward, Alasca	Seward (Alaska)
1130an	Années 1130
Hot Springs, Arkansas	Hot Springs (Arkansas)
Clarksville, Arkansas	Clarksville (Arkansas)
Russellville, Alabama	Russellville (Alabama)
Prescott, Arizona	Prescott (Arizona)
Poilean	Pollen
Selma, Alabama	Selma (Alabama)
Wasilla, Alasca	Wasilla
Seumas VI na h-Alba is Seumas I Shasainn	Jacques VI et Ier
1360an	Années 1360
1270an	Années 1270
Kodiak, Alasca	Kodiak (ville)
Christchurch, Sealainn Nuadh	Christchurch
Nome, Alasca	Nome (Alaska)
Hope, Arkansas	Hope (Arkansas)
Pine Bluff, Arkansas	Pine Bluff
Bethel, Alasca	Bethel (Alaska)
Petersburg, Alasca	Petersburg (Alaska)
Osceola, Arkansas	Osceola (Arkansas)
Rut	Livre de Ruth
Seic	Chèque
Geneva, Alabama	Geneva (Alabama)
Ozark, Arkansas	Ozark (Arkansas)
West Memphis, Arkansas	West Memphis
Pocahontas, Arkansas	Pocahontas (Arkansas)
Duais Nobel ann an Leigheas	Prix Nobel de physiologie ou médecine
Clinton, Arkansas	Clinton (Arkansas)
Elias Canetti	Elias Canetti
Babsk	Babsk
Piggott, Arkansas	Piggott
Prescott, Arkansas	Prescott (Arkansas)
Ashdown, Arkansas	Ashdown (Arkansas)
Sheridan, Arkansas	Sheridan (Arkansas)
Kenzaburo Oe	Kenzaburō Ōe
Heber Springs, Arkansas	Heber Springs
Fordyce, Arkansas	Fordyce (Arkansas)
Greenwood, Arkansas	Greenwood (Arkansas)
Daniel	Livre de Daniel
Lonoke, Arkansas	Lonoke
Wynne, Arkansas	Wynne (Arkansas)
Emily Brontë	Emily Brontë
Ad	Chapeau
Siompansaidhe	Chimpanzé
Huntsville, Arkansas	Huntsville (Arkansas)
Botal	Bouteille
Ailt	Alto (instrument à cordes)
Harrison, Arkansas	Harrison (Arkansas)
Halldór Laxness	Halldór Laxness
Mongùs	Herpestidae
Gavrilo Princip	Gavrilo Princip
Gondwana	Gondwana
Dealan-uisge	Énergie hydroélectrique
Charlton Heston	Charlton Heston
960an	Années 960
990an	Années 990
890an	Années 890
1190an	Années 1190
1180an	Années 1180
Uaireadair-grèine	Cadran solaire
Gabriela Mistral	Gabriela Mistral
Sigrid Undset	Sigrid Undset
Pearl S. Buck	Pearl Buck
Brian Kobilka	Brian Kobilka
Robert Lefkowitz	Robert Lefkowitz
John Travolta	John Travolta
Svante Arrhenius	Svante August Arrhenius
Na h-Eileanan Siar	Hébrides extérieures
Biadh-maidne	Déjeuner
Prionnsa Philip, Diùc Dhùn Èideann	Philip Mountbatten
Brìghde Chill Dara	Brigitte d'Irlande
Inbheach	Adulte
Ite	Plume
Na h-Eileanan a-staigh	Hébrides intérieures
Zierikzee	Zierikzee
Innleadair	Ingénieur
950an	Années 950
Seòlaid an Iar-thuath	Passage du Nord-Ouest
Eilean Bhaffin	Île de Baffin
1020an	Années 1020
1060an	Années 1060
Moirfin	Morphine
Britheamhan	Livre des Juges
1210an	Années 1210
1350an	Années 1350
Acair (talamh)	Acre (unité)
Harrison Ford	Harrison Ford
1310an	Années 1310
1260an	Années 1260
1220an	Années 1220
1010an	Années 1010
Bloinigean-gàrraidh	Épinard
Teàrlach I	Charles Ier (roi d'Angleterre)
Alpaca	Alpaga
970an	Années 970
François Mauriac	François Mauriac
1420an	Années 1420
Almería (provincia)	Province d'Almería
Badajoz (provincia)	Province de Badajoz
Burras	Chenille (lépidoptère)
Barcelona (provincia)	Province de Barcelone
Raibeart Burns	Robert Burns
Córdoba (provincia)	Province de Cordoue
Cáceres (provincia)	Province de Cáceres
Cádiz (provincia)	Province de Cadix
Cruit-chòrda	Clavecin
Benjamin Disraeli	Benjamin Disraeli
Adharc	Corne (biologie)
Steven Seagal	Steven Seagal
A Coruña (provincia)	Province de La Corogne
Co-ionnannachd comais-cheannachd	Parité de pouvoir d'achat
Granada (provincia)	Province de Grenade
Mata Hari	Mata Hari
John Galsworthy	John Galsworthy
920an	Années 920
1170an	Années 1170
980an	Années 980
1080an	Années 1080
1000an	Années 1000
1300an	Années 1300
1330an	Années 1330
Tuscola County, Michigan	Comté de Tuscola
Uilleam Uallas	William Wallace
Clach ghrùideach	Roche sédimentaire
Saginaw County, Michigan	Comté de Saginaw
Sanilac County, Michigan	Comté de Sanilac
The Sex Pistols	Sex Pistols
Andres de Segurola	Andrés de Segurola
First ScotRail	First ScotRail
Montcalm County, Michigan	Comté de Montcalm
1090an	Années 1090
Leslie Nielsen	Leslie Nielsen
Ainm	Nom
Druim an t-saoghail	Zénith (astronomie)
1380an	Années 1380
Sigmaringen	Sigmaringen
An Carghas	Carême
1240an	Années 1240
1290an	Années 1290
Aidmheint	Avent
1450an	Années 1450
Pàpa Griogair XIII	Grégoire XIII
Bad Urach	Bad Urach
Clisgear	Interjection
Salvatore Quasimodo	Salvatore Quasimodo
1110an	Années 1110
1160an	Années 1160
940an	Années 940
1250an	Années 1250
Saul Bellow	Saul Bellow
Ailbhinn	Silex
Balgan-buachair	Champignon
Jacques-Louis David	Jacques-Louis David
Charlotte's Web 2: Wilbur's Great Adventure	Le Petit Monde de Charlotte 2
Eugenio Montale	Eugenio Montale
Almere	Almere
Jacinto Benavente	Jacinto Benavente
Eideard VI	Édouard VI
Selena Gomez	Selena Gomez
870an	Années 870
160an	Années 160
1340an	Années 1340
880an	Années 880
860an	Années 860
1320an	Années 1320
1070an	Années 1070
1200an	Années 1200
1280an	Années 1280
Òrdag	Pouce (anatomie)
1140an	Années 1140
Cary Grant	Cary Grant
Paracelsus	Paracelse
Tuath-Cheòl	Musique country
1440an	Années 1440
Vladimir Prelog	Vladimir Prelog
Fliùiteag	Piccolo (musique)
Buabhall	Bubalus
BBC Alba (Sianal)	BBC Alba
Biorach (iasg)	Scyliorhinus canicula
Gearastan	Garnison
Grimstad	Grimstad
Crannag	Crannog
Teamplaid:Cite book	Modèle:Ouvrage
Gleann Comhann	Glen Coe
Pär Fabian Lagerkvist	Pär Lagerkvist
Eugene O'Neill	Eugene O'Neill
Baisteach	Baptisme
Còigeamh Uladh	Ulster
Lesser Antilles	Petites Antilles
Tairbeart (feart tìre)	Isthme
Inneal-siubhail	Locomotive
Chrzanów	Chrzanów
Còrsa	Côte (géographie)
Seamus Heaney	Seamus Heaney
Ò Canada	Ô Canada
James Cagney	James Cagney
Jack Lemmon	Jack Lemmon
Ottawa County, Michigan	Comté d'Ottawa (Michigan)
Weld County, Colorado	Comté de Weld
Appleton, Wisconsin	Appleton (Wisconsin)
Gipuzkoa	Guipuscoa
Lugo (provincia)	Province de Lugo
Málaga (provincia)	Province de Malaga
Ourense (provincia)	Province d'Ourense
Pontevedra (provincia)	Province de Pontevedra
Sevilla (provincia)	Province de Séville
Ernst Rowohlt	Ernst Rowohlt
Dùthaich nam Basgach a Tuath	Pays basque français
Ourense	Orense
Santa Cruz de Tenerife (provincia)	Province de Santa Cruz de Tenerife
Arcaibh	Orcades
Casnewydd	Newport (pays de Galles)
Pàpa Innocentius X	Innocent X
Pàpa Innocentius XI	Innocent XI
Pàpa Alasdair VIII	Alexandre VIII
Lillehammer	Lillehammer
Lobamba	Lobamba
Rastafarachd	Mouvement rastafari
Thabo Mbeki	Thabo Mbeki
Sotto il Monte Giovanni XXIII	Sotto il Monte Giovanni XXIII
Cromleac	Dolmen
Altair	Autel (religion)
Ainu	Aïnous (ethnie du Japon et de Russie)
Narva	Narva
Peter Agre	Peter Agre
Sidney Altman	Sidney Altman
Christian B. Anfinsen	Christian Boehmer Anfinsen
Francis William Aston	Francis William Aston
Pärnu	Pärnu
Paul Berg	Paul Berg
Paul D. Boyer	Paul D. Boyer
Herbert C. Brown	Herbert C. Brown
Derek H. R. Barton	Derek Harold Richard Barton
Paul Samuelson	Paul Samuelson
James Stewart	James Stewart
Apa	Hominoidea
Jaroslav Seifert	Jaroslav Seifert
Parraist	Paroisse
Dà-fhoghar	Diphtongue
Ernest Borgnine	Ernest Borgnine
Giorrachadh	Abréviation
Henri Moissan	Henri Moissan
Jacobus Henricus van't Hoff	Jacobus Henricus van 't Hoff
Frederick Soddy	Frederick Soddy
Na Cruithnich	Pictes
An Òlaind	Hollande
Kurt Russell	Kurt Russell
Feamainn dearg	Rhodophyta
Alt (gràmar)	Article (grammaire)
Donald Sutherland	Donald Sutherland
Peter Debye	Peter Debye
Peadar Ó Tuathail	Peter O'Toole
Alec Guinness	Alec Guinness
Judea	Judée
Concesio	Concesio
Singilte	Nombre grammatical
Deborah Kerr	Deborah Kerr
Robert Walpole	Robert Walpole
Chorzów	Chorzów
Muhammad Naguib	Mohammed Naguib
Paul Sabatier	Paul Sabatier
Victor Grignard	Victor Grignard
Beinn Nibheis	Ben Nevis
Los Angeles County, Calafòrnia	Comté de Los Angeles
El Callao	Callao
Dearc-luachrach (dà-bheathach)	Triton
Lunenburg	Lunenburg (Nouvelle-Écosse)
Biorabhaig	Perruque
Ei-ichi Negishi	Ei-ichi Negishi
Wendell Meredith Stanley	Wendell Meredith Stanley
Brachadh (craiceann)	Pus
Akira Suzuki	Akira Suzuki
Rangachadh Élő	Classement Elo
Maurice Allais	Maurice Allais
La Gomera	La Gomera
Crìosdaidh	Chrétien
Gaiman	Gaiman (Argentine)
John Howard Northrop	John Howard Northrop
Richard Fred Heck	Richard Heck
Blàthach	Babeurre
Eanraig Caimbeul-MacGille-na-Brataich	Henry Campbell-Bannerman
Ahmed H. Zewail	Ahmed Zewail
Martin Chalfie	Martin Chalfie
Mestizos	Métis
Jerome Karle	Jerome Karle
John B. Fenn	John B. Fenn
Richard Smalley	Richard Smalley
Alan J Heeger	Alan Heeger
