Āfrika	Afrique
Toskāna	Toscane
Leonards Koens	Leonard Cohen
Kopernikijs	Copernicium
Marke	Marches
Umbrija	Ombrie
Lacio	Latium
Abruco	Abruzzes
Apenīni	Apennins
Alpi	Alpes
Karpati	Carpates
Grenoble	Grenoble
Blēzs Paskāls	Blaise Pascal
Dambrete	Dames
Dortmunde	Dortmund
Gente	Gand
Čikāga	Chicago
The Beatles	The Beatles
Ununtrijs	Ununtrium
Flerovijs	Flérovium
Ununpentijs	Ununpentium
Livermorijs	Livermorium
Ununseptijs	Ununseptium
Ununoktijs	Ununoctium
Komo (pilsēta)	Côme
Māstrihta	Maastricht
Arnema	Arnhem
Ziema	Hiver
Pavasaris	Printemps
Vasara	Été
Rudens	Automne
Ekvinokcija	Équinoxe
Sadams Huseins	Saddam Hussein
Osama bin Ladens	Oussama ben Laden
Spāņu valoda	Espagnol
Frīdrihs Hajeks	Friedrich Hayek
Montevideo	Montevideo
Johans Sebastians Bahs	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Toljati	Togliatti
Pitsburga	Pittsburgh
Opera	Opéra
Filadelfija	Philadelphie
Kolkata	Calcutta
Toljati @@@u0026Lada"	Lada Togliatti
Opel Astra	Opel Astra
Čennai	Chennai
Deli	Delhi
Daka	Dacca
Bengalūru	Bangalore
Rietumbengāle	Bengale-Occidental
Zirnekļi	Araneae
Zirnekļveidīgie	Arachnida
Helicerāti	Chelicerata
Posmkāji	Arthropode
Haidarābādu	Hyderabad
Islāmābāda	Islamabad
Tripura	Tripura
Auglis	Fruit (botanique)
Kategorija:Portu	Catégorie:Porto
Pērtiķi	Singe
Nauda	Monnaie
Virdžīnija	Virginie (État)
Rietumvirdžīnija	Virginie-Occidentale
Materhorns	Cervin
Dungeons & Dragons	Donjons et Dragons
Dārzeņpipars	Capsicum annuum
Hūrons	Lac Huron
Ņujorka (štats)	État de New York
Cērijs	Cérium
Prazeodīms	Praséodyme
Rodailenda	Rhode Island
Neodīms	Néodyme
Kukaiņi	Insecte
Mērilenda	Maryland
Delavēra	Delaware
Vladimirs Ļeņins	Vladimir Ilitch Lénine
Eiropijs	Europium
Ohaio (štats)	Ohio
Vergilijs	Virgile
Nikolo Makjavelli	Nicolas Machiavel
Pensilvānija	Pennsylvanie
Frančesko Petrarka	Pétrarque
Džovanni Bokačo	Boccace
Luidži Pirandello	Luigi Pirandello
Iterzene	Uetersen
Oktaviāns	Auguste
Microsoft Windows	Microsoft Windows
Tibērijs	Tibère
Ņūdžersija	New Jersey
Kaligula	Caligula
Gibraltārs	Gibraltar
Klaudijs	Claude (empereur romain)
Somu valoda	Finnois
Nērons	Néron
Indiāna	Indiana
Otons	Othon (empereur romain)
Vitēlijs	Vitellius
Nokia	Nokia
Vespasiāns	Vespasien
Automašīna	Automobile
Tits	Titus (empereur romain)
Turīnas @@@u0026Juventus"	Juventus Football Club
Domiciāns	Domitien
Nerva	Nerva
Trajāns	Trajan
Rodžers Federers	Roger Federer
Adriāns	Hadrien
Džordžija	Géorgie (États-Unis)
Antonijs Pijs	Antonin le Pieux
Marks Aurēlijs	Marc Aurèle
KDE	KDE
Komods	Commode (empereur)
Zagreba	Zagreb
Rādžastāna	Rajasthan
Kampānija	Campanie
Teksasa	Texas
Septimijs Severs	Septime Sévère
Molize	Molise
Tamilnāda	Tamil Nadu
Karakalla	Caracalla
Apūlija	Pouilles
Dženova	Gênes
Bruno Mars	Bruno Mars
Pinatubo	Pinatubo
Bazilikata	Basilicate
Ziemeļkarolīna	Caroline du Nord
Lauka hokejs	Hockey sur gazon
Dienvidkarolīna	Caroline du Sud
Dženovas @@@u0026Sampdoria"	Unione Calcio Sampdoria
Kalabrija	Calabre
Sicīlija	Sicile
Manila	Manille
Sardīnija	Sardaigne
Ferdinands Markoss	Ferdinand Marcos
Sebu	Cebu (ville)
Luāra (upe)	Loire
Moriss Kornēlijs Ešers	Maurits Cornelis Escher
Sēna	Seine
Krona slimība	Maladie de Crohn
Davao	Davao
Kesonsitija	Quezon City
Lemāna	Le Mans
Bordo	Bordeaux
Korasona Akino	Corazon Aquino
Sistēmiskā sarkanā vilkēde	Lupus érythémateux disséminé
Buenosairesa	Buenos Aires
Mehiko	Mexico
Tokija	Tokyo
Lapasa	La Paz
Barselona	Barcelone
Ananass	Ananas
Misisipi (štats)	Mississippi (État)
Fernāns Magelāns	Fernand de Magellan
Misisipi (upe)	Mississippi (fleuve)
Utarpradēša	Uttar Pradesh
Utarakhanda	Uttarakhand
Mizorāma	Mizoram
Sikima	Sikkim
Patagonija	Patagonie
Tenesī	Tennessee
Rihards Vāgners	Richard Wagner
Roberts Luiss Stīvensons	Robert Louis Stevenson
Nāgpura	Nagpur
Dženisa Džoplina	Janis Joplin
Abidžana	Abidjan
Abū Dabī	Abou Dabi (ville)
Astana	Astana
Ņūmeksika	Nouveau-Mexique
Ramzess Lielais	Ramsès II
Atēnas	Athènes
Minesota	Minnesota
Bagdāde	Bagdad
Karakasa	Caracas
Universālais koordinētais laiks	Temps universel coordonné
Viskonsina	Wisconsin
Pune	Pune
Cicerons	Cicéron
AC Milan	Associazione Calcio Milan
Sindija Lopere	Cyndi Lauper
Aiova	Iowa
Nebraska	Nebraska
Gvatemala (pilsēta)	Guatemala (ville)
Kanzasa	Kansas
Havana	La Havane
Tabaka	Tabac
Hindi	Hindi
Marathu valoda	Marathi (langue)
Internet Explorer	Internet Explorer
Cigarete	Cigarette
Ganēša	Ganesh
Misūri (štats)	Missouri (État)
Georgs Simons Oms	Georg Ohm
Luiziāna	Louisiane
Nāgālenda	Nagaland
Kentuki	Kentucky
Tims Linsekums	Tim Lincecum
Alfa Romeo 159	Alfa Romeo 159
Ārkanzasa	Arkansas
Nīls Ārmstrongs	Neil Armstrong
Urdu	Ourdou
Čārlzs Lindbergs	Charles Lindbergh
Sīgfrids Ēdstrems	Sigfrid Edström
Edīte Piafa	Édith Piaf
Osijeka	Osijek
Elba	Elbe (fleuve)
Rijeka	Rijeka
Emsa	Ems
Oklahoma	Oklahoma
Vēzere	Weser
Johans Bleiks	Yohan Blake
Džastins Getlins	Justin Gatlin
Donava	Danube
Kirani Džeimss	Kirani James
Deivids Rudiša	David Rudisha
Splita	Split
Rūra (upe)	Ruhr (rivière)
Žaks Brels	Jacques Brel
Mozele	Moselle (rivière)
Maina	Main (rivière)
Mohameds Farahs	Mohamed Farah
Nekāra	Neckar
Ezekiels Kemboi	Ezekiel Kemboi
Zāle (upe)	Saale
Hāfele	Havel
Šprē	Spree
Džeisons Ričardsons	Jason Richardson (basket-ball)
Elde	Elde
Felikss Sančess	Félix Sánchez
Ziemeļjūra	Mer du Nord
Skageraks	Skagerrak
Maskavas apgabals	Oblast de Moscou
Nesta Kārters	Nesta Carter
Ķīle	Kiel
Šverīne	Schwerin
Potsdama	Potsdam
Hannovere	Hanovre
Diseldorfa	Düsseldorf
Mainca	Mayence
Vīsbādene	Wiesbaden
Dubrovnika	Dubrovnik
Zārbrikene	Sarrebruck
Minhene	Munich
Samaras apgabals	Oblast de Samara
Erfurte	Erfurt
Drēzdene	Dresde
Magdeburga	Magdebourg
Volejbols	Volley-ball
Insbruka	Innsbruck
Brēgenca	Bregenz
Vīne	Vienne (Autriche)
Reno Lavilenī	Renaud Lavillenie
Madonna (mūziķe)	Madonna
Kopenhāgena	Copenhague
Kaļiņingradas apgabals	Oblast de Kaliningrad
Stokholma	Stockholm
Tomašs Majevskis	Tomasz Majewski
Helsinki	Helsinki
Dāvids Štorls	David Storl
Murmanskas apgabals	Oblast de Mourmansk
Rīze Hofa	Reese Hoffa
Dublina	Dublin
Elagabals	Héliogabale
Murmanska	Mourmansk
Reikjavīka	Reykjavik
Roberts Hartings	Robert Harting
Kakaši Hatake	Kakashi Hatake
Ella Ficdžeralda	Ella Fitzgerald
Tallina	Tallinn
Rīga	Riga
Gerds Kanters	Gerd Kanter
Lūiss Ārmstrongs	Louis Armstrong
Bratislava	Bratislava
Budapešta	Budapest
Primožs Kozmuss	Primož Kozmus
Kodži Murofuši	Kōji Murofushi
Šarls Aznavūrs	Charles Aznavour
Kešorns Volkots	Keshorn Walcott
Eštons Ītons	Ashton Eaton
Gdaņska	Gdańsk
Trejs Hārdijs	Trey Hardee
Frankfurte pie Mainas	Francfort-sur-le-Main
Vroclava	Wrocław
Kočina	Cochin (Inde)
Lantāns	Lanthane
Prometijs	Prométhium
Astronomiskā vienība	Unité astronomique
Samārijs	Samarium
Bagio	Baguio
Ačeha	Aceh
Kaļiņingrada	Kaliningrad
Decijs	Dèce
Gadolīnijs	Gadolinium
Death Note	Death Note
Zinedins Zidāns	Zinédine Zidane
Terbijs	Terbium
Katoļticība	Catholicisme
Luksemburga (pilsēta)	Luxembourg (ville)
Disprozijs	Dysprosium
Vaduca	Vaduz
Bībele	Bible
Holmijs	Holmium
Sanmarīno (pilsēta)	Ville de Saint-Marin
Erbijs	Erbium
Pnompeņa	Phnom Penh
Arhangeļska	Arkhangelsk
Tūlijs	Thulium
Hošimina	Hô-Chi-Minh-Ville
Iterbijs	Ytterbium
Lutēcijs	Lutécium
Hanoja	Hanoï
Patiesā Jēzus baznīca	Véritable Jésus Église
Angļu valoda	Anglais
Bangkoka	Bangkok
Volina (pilsēta)	Wolin (ville)
Andora la Velja	Andorre-la-Vieille
Kualalumpūra	Kuala Lumpur
Taibei	Taipei
Amerīcijs	Américium
Odesa	Odessa
Arhangeļskas apgabals	Oblast d'Arkhangelsk
Kirijs	Curium
Donhoja	Đồng Hới
Konsepsjona	Concepción (Chili)
Berklijs	Berkélium
Bergamo @@@u0026Atalanta"	Atalanta Bergame
Kalifornijs	Californium
Diplomātija	Diplomatie
Boloņa	Bologne
Einšteinijs	Einsteinium
Bologna F.C. 1909	Bologne Football Club 1909
Petrozavodska	Petrozavodsk
Fermijs	Fermium
Kaljāri	Cagliari
Mendelevijs	Mendélévium
Kijeva	Kiev
Cagliari Calcio	Cagliari Calcio
Nobēlijs	Nobélium
Katānija	Catane
Ontārio	Ontario
Lourensijs	Lawrencium
Igo Loriss	Hugo Lloris
Olivjē Žirū	Olivier Giroud
Karīms Benzemā	Karim Benzema
Florāns Maluda	Florent Malouda
Karēlijas Republika	République de Carélie
Patriss Evra	Patrice Évra
Franks Riberī	Franck Ribéry
Samīrs Nasrī	Samir Nasri
Gaels Klišī	Gaël Clichy
Otava	Ottawa
Anja Pēšone	Anja Pärson
Ēriks Abidāls	Éric Abidal
Džibrils Sisē	Djibril Cissé
Viljams Galā	William Gallas
Bakarijs Saņa	Bacary Sagna
Nikolā Anelka	Nicolas Anelka
Abu Diabī	Abou Diaby
Benjamins Raihs	Benjamin Raich
Jupitera pavadoņi	Satellites naturels de Jupiter
Džūba	Djouba
Manitoba	Manitoba
Alberto Tomba	Alberto Tomba
Alberta	Alberta
Jaunskotija	Nouvelle-Écosse
Erevāna	Erevan
Hermanis Maiers	Hermann Maier
Vologda	Vologda
Koņskovola	Końskowola
Dāresalāma	Dar es Salam
Hartūma	Khartoum
Ņūbransvika	Nouveau-Brunswick
Formula 1	Formule 1
Saturna pavadoņi	Satellites naturels de Saturne
Britu Kolumbija	Colombie-Britannique
Prinča Edvarda Sala (Kanāda)	Île-du-Prince-Édouard
2000. gads	2000
2003. gads	2003
2002. gads	2002
2001. gads	2001
Saskačevana	Saskatchewan
2012. gads	2012
2011. gads	2011
2010. gads	2010
2009. gads	2009
Oglekļa dioksīds	Dioxyde de carbone
2013. gads	2013
2014. gads	2014
2015. gads	2015
Ņūfaundlenda un Labradora	Terre-Neuve-et-Labrador
2008. gads	2008
JavaScript	JavaScript
Ziemeļrietumu Teritorijas	Territoires du Nord-Ouest
Jukona (teritorija)	Yukon
2004. gads	2004
Vologdas apgabals	Oblast de Vologda
2005. gads	2005
2006. gads	2006
Nunavuta	Nunavut
2007. gads	2007
Oglekļa monoksīds	Monoxyde de carbone
Verona	Vérone
Ikaluita	Iqaluit
1900. gads	1900
1901. gads	1901
Fransuā Miterāns	François Mitterrand
Tits Līvijs	Tite-Live
Džuzepe Farina	Giuseppe Farina
Šarls de Golls	Charles de Gaulle
1902. gads	1902
Florence	Florence
1903. gads	1903
1904. gads	1904
1905. gads	1905
1907. gads	1907
1906. gads	1906
ACF Fiorentina	Associazione Calcio Fiorentina
HTML5	HTML5
Seneka Jaunākais	Sénèque
1908. gads	1908
1909. gads	1909
1992. gads	1992
Jelounaifa	Yellowknife
1991. gads	1991
JSON	JavaScript Object Notation
1990. gads	1990
1993. gads	1993
Esene	Essen
1994. gads	1994
1995. gads	1995
Huans Manuels Fanhio	Juan Manuel Fangio
1996. gads	1996
Deivids Linčs	David Lynch
Marsels Hiršers	Marcel Hirscher
Komi	République des Komis
Genoa C.F.C.	Genoa Cricket and Football Club
1910. gads	1910
1911. gads	1911
1912. gads	1912
Leipciga	Leipzig
1913. gads	1913
Sentdžonsa (Kanāda)	Saint-Jean de Terre-Neuve
1914. gads	1914
1915. gads	1915
Alberto Askari	Alberto Ascari
1916. gads	1916
1997. gads	1997
1998. gads	1998
Nirnberga	Nuremberg
1999. gads	1999
1917. gads	1917
1918. gads	1918
Pārtika	Nourriture
Edmontona	Edmonton
Hjētils Andrē Omots	Kjetil André Aamodt
Dīsburga	Duisbourg
Čūskas	Serpentes
Bohuma	Bochum
Maiks Hotorns	Mike Hawthorn
Žaks Širaks	Jacques Chirac
Vupertāle	Wuppertal
Gaismas ātrums	Vitesse de la lumière
Bīlefelde	Bielefeld
XML	Extensible Markup Language
Manheima	Mannheim
Orālais sekss	Sexualité orale
Ridžaina	Regina
Valerī Žiskārs d'Estēns	Valéry Giscard d'Estaing
Džeks Brebems	Jack Brabham
Neitrīno	Neutrino
Bode Millers	Bode Miller
Viktorija (Kanāda)	Victoria (Colombie-Britannique)
LOL	LOL (argot internet)
Vinipega	Winnipeg
Neptūna pavadoņi	Satellites naturels de Neptune
Helifeksa	Halifax (Nouvelle-Écosse)
Siktivkara	Syktyvkar
Čerepoveca	Tcherepovets
Kvebeka (pilsēta)	Québec (ville)
UTC-12	UTC−12:00
1. janvāris	1er janvier
2. janvāris	2 janvier
Urāna pavadoņi	Satellites naturels d'Uranus
UTC-11	UTC−11:00
1920. gads	1920
3. janvāris	3 janvier
1919. gads	1919
Tacits	Tacite
1921. gads	1921
Ņencu autonomais apvidus	Nénétsie
1922. gads	1922
Lunda	Lund (Suède)
4. janvāris	4 janvier
1923. gads	1923
Biobio reģions	Région du Biobío
UTC-9:30	UTC−09:30
Lenss Ārmstrongs	Lance Armstrong
1924. gads	1924
Narjanmara	Narian-Mar
Asteroīdu josla	Ceinture d'astéroïdes
UTC-9	UTC−09:00
Krievijas PFSR	République socialiste fédérative soviétique de Russie
Žoržs Pompidū	Georges Pompidou
Ļeņingradas apgabals	Oblast de Léningrad
JPEG	JPEG
Pundurplanēta	Planète naine
Kick-Ass: Jaunie supervaroņi	Kick-Ass (film)
5. janvāris	5 janvier
Arika	Arica (Chili)
UTC-8	UTC−08:00
Malme	Malmö
UTC-7	UTC−07:00
Pleskava	Pskov
Pleskavas apgabals	Oblast de Pskov
Sizraņa	Syzran
6. janvāris	6 janvier
Krusttēva Toma būda	La Case de l'oncle Tom
Elektrons	Électron
7. janvāris	7 janvier
8. janvāris	8 janvier
Veļikijnovgoroda	Novgorod
9. janvāris	9 janvier
Novgorodas apgabals	Oblast de Novgorod
10. janvāris	10 janvier
Ņižņijnovgorodas apgabals	Oblast de Nijni Novgorod
11. janvāris	11 janvier
12. janvāris	12 janvier
Kolumbija (upe)	Columbia (fleuve)
Bazs Oldrins	Buzz Aldrin
Scīpions Afrikānis	Scipion l'Africain
13. janvāris	13 janvier
Birmingema	Birmingham
14. janvāris	14 janvier
15. janvāris	15 janvier
16. janvāris	16 janvier
Toms Henkss	Tom Hanks
17. janvāris	17 janvier
18. janvāris	18 janvier
19. janvāris	19 janvier
20. janvāris	20 janvier
Rūpnieciskā revolūcija	Révolution industrielle
Benzols	Benzène
21. janvāris	21 janvier
22. janvāris	22 janvier
23. janvāris	23 janvier
Romas impērija	Empire romain
24. janvāris	24 janvier
25. janvāris	25 janvier
Minska	Minsk
26. janvāris	26 janvier
Microsoft	Microsoft
27. janvāris	27 janvier
28. janvāris	28 janvier
29. janvāris	29 janvier
30. janvāris	30 janvier
Tvera	Tver
31. janvāris	31 janvier
Tveras apgabals	Oblast de Tver
Protons	Proton
2. decembris	2 décembre
1. decembris	1er décembre
3. decembris	3 décembre
7. decembris	7 décembre
5. decembris	5 décembre
8. decembris	8 décembre
10. decembris	10 décembre
6. decembris	6 décembre
9. decembris	9 décembre
Pink Floyd	Pink Floyd
4. decembris	4 décembre
EADS	Airbus Group
1. februāris	1er février
2. februāris	2 février
Nātrija hlorīds	Chlorure de sodium
3. februāris	3 février
Kurova	Kurów
4. februāris	4 février
5. februāris	5 février
6. februāris	6 février
7. februāris	7 février
8. februāris	8 février
9. februāris	9 février
10. februāris	10 février
Ķīmija	Chimie
Led Zeppelin	Led Zeppelin
14. februāris	14 février
13. februāris	13 février
15. februāris	15 février
11. februāris	11 février
12. februāris	12 février
Smoļenska	Smolensk
1. kavalērijas divīzija (ASV)	1re division de cavalerie (États-Unis)
Robins van Persijs	Robin van Persie
19. februāris	19 février
17. februāris	17 février
16. februāris	16 février
18. februāris	18 février
20. februāris	20 février
Divpadsmit saniknotu vīru	Douze hommes en colère (film)
Analītiskā ķīmija	Chimie analytique
Smoļenskas apgabals	Oblast de Smolensk
Neitrons	Neutron
21. februāris	21 février
22. februāris	22 février
23. februāris	23 février
24. februāris	24 février
25. februāris	25 février
26. februāris	26 février
27. gads	27
27. februāris	27 février
28. februāris	28 février
11. decembris	11 décembre
29. februāris	29 février
Bliss	Colline verdoyante
12. decembris	12 décembre
C sharp	C sharp
Sid Meier's Civilization IV	Civilization IV
13. decembris	13 décembre
14. decembris	14 décembre
15. decembris	15 décembre
Sid Meier's Civilization V	Civilization V
2. marts	2 mars
3. marts	3 mars
5. marts	5 mars
1. marts	1er mars
7. marts	7 mars
8. marts	8 mars
4. marts	4 mars
10. marts	10 mars
11. marts	11 mars
6. marts	6 mars
13. marts	13 mars
9. marts	9 mars
12. marts	12 mars
15. marts	15 mars
14. marts	14 mars
C++	C++
Sālsskābe	Acide chlorhydrique
16. decembris	16 décembre
17. decembris	17 décembre
Krisjānsanna	Kristiansand
16. marts	16 mars
17. marts	17 mars
18. marts	18 mars
Jaroslavļa	Iaroslavl
19. marts	19 mars
1989. gads	1989
1988. gads	1988
20. marts	20 mars
1987. gads	1987
1986. gads	1986
1985. gads	1985
1984. gads	1984
21. marts	21 mars
1983. gads	1983
22. marts	22 mars
1982. gads	1982
1981. gads	1981
18. decembris	18 décembre
1980. gads	1980
23. marts	23 mars
Jaroslavļas apgabals	Oblast de Iaroslavl
Mogadīšo	Mogadiscio
19. decembris	19 décembre
24. marts	24 mars
25. marts	25 mars
20. decembris	20 décembre
26. marts	26 mars
27. marts	27 mars
28. marts	28 mars
29. marts	29 mars
30. marts	30 mars
31. marts	31 mars
Aljē	Allier (rivière)
Naso	Nassau (Bahamas)
Fluorūdeņradis	Fluorure d'hydrogène
Andromedas galaktika	Galaxie d'Andromède
Sana	Sanaa
1970. gads	1970
1971. gads	1971
1972. gads	1972
1973. gads	1973
1974. gads	1974
1975. gads	1975
1976. gads	1976
1977. gads	1977
1978. gads	1978
1979. gads	1979
1969. gads	1969
Trīsdesmitgadu karš	Guerre de Trente Ans
Tarbozaurs	Tarbosaurus
Konrāds Adenauers	Konrad Adenauer
Datu saspiešana	Compression de données
Benedikts XVI	Benoît XVI
15. aprīlis	15 avril
13. aprīlis	13 avril
12. aprīlis	12 avril
14. aprīlis	14 avril
11. aprīlis	11 avril
10. aprīlis	10 avril
8. aprīlis	8 avril
9. aprīlis	9 avril
7. aprīlis	7 avril
6. aprīlis	6 avril
5. aprīlis	5 avril
4. aprīlis	4 avril
3. aprīlis	3 avril
1. aprīlis	1er avril
2. aprīlis	2 avril
Habla kosmiskais teleskops	Hubble (télescope spatial)
Villijs Brants	Willy Brandt
Helmūts Šmits	Helmut Schmidt
Helmūts Kols	Helmut Kohl
16. aprīlis	16 avril
17. aprīlis	17 avril
18. aprīlis	18 avril
19. aprīlis	19 avril
20. aprīlis	20 avril
21. aprīlis	21 avril
22. aprīlis	22 avril
23. aprīlis	23 avril
24. aprīlis	24 avril
Gerhards Šrēders	Gerhard Schröder
25. aprīlis	25 avril
26. aprīlis	26 avril
27. aprīlis	27 avril
28. aprīlis	28 avril
29. aprīlis	29 avril
30. aprīlis	30 avril
Dabiskais pavadonis	Satellite naturel
Joahims Gauks	Joachim Gauck
Mašīnmācīšanās	Apprentissage automatique
Kristians Vulfs	Christian Wulff
Horsts Kēlers	Horst Köhler
1. maijs	1er mai
2. maijs	2 mai
Kālija bromīds	Bromure de potassium
3. maijs	3 mai
4. maijs	4 mai
5. maijs	5 mai
6. maijs	6 mai
7. maijs	7 mai
8. maijs	8 mai
9. maijs	9 mai
10. maijs	10 mai
11. maijs	11 mai
12. maijs	12 mai
13. maijs	13 mai
14. maijs	14 mai
15. maijs	15 mai
Titāns (pavadonis)	Titan (lune)
Rihards fon Veiczekers	Richard von Weizsäcker
16. maijs	16 mai
17. maijs	17 mai
18. maijs	18 mai
19. maijs	19 mai
20. maijs	20 mai
21. maijs	21 mai
22. maijs	22 mai
23. maijs	23 mai
24. maijs	24 mai
25. maijs	25 mai
26. maijs	26 mai
27. maijs	27 mai
28. maijs	28 mai
29. maijs	29 mai
30. maijs	30 mai
31. maijs	31 mai
Kostroma	Kostroma
Kostromas apgabals	Oblast de Kostroma
Pols Makartnijs	Paul McCartney
Egons Krencs	Egon Krenz
21. decembris	21 décembre
Pijs XII	Pie XII
Ērihs Honekers	Erich Honecker
Romas @@@u0026Lazio"	Società Sportiva Lazio
14. jūnijs	14 juin
15. jūnijs	15 juin
13. jūnijs	13 juin
10. jūnijs	10 juin
7. jūnijs	7 juin
11. jūnijs	11 juin
9. jūnijs	9 juin
12. jūnijs	12 juin
6. jūnijs	6 juin
8. jūnijs	8 juin
5. jūnijs	5 juin
3. jūnijs	3 juin
2. jūnijs	2 juin
1. jūnijs	1er juin
4. jūnijs	4 juin
Ivanova	Ivanovo
Ringo Stārs	Ringo Starr
Neapole	Naples
22. decembris	22 décembre
SSC Napoli	SSC Naples
Džordžs Harisons	George Harrison
1968. gads	1968
Frīdrihs Eberts	Friedrich Ebert
1967. gads	1967
1966. gads	1966
1965. gads	1965
1964. gads	1964
16. jūnijs	16 juin
Ivanovas apgabals	Oblast d'Ivanovo
Džons Franklins	John Franklin
Palermo	Palerme
30. jūnijs	30 juin
29. jūnijs	29 juin
28. jūnijs	28 juin
26. jūnijs	26 juin
25. jūnijs	25 juin
22. jūnijs	22 juin
27. jūnijs	27 juin
24. jūnijs	24 juin
20. jūnijs	20 juin
Pauls fon Hindenburgs	Paul von Hindenburg
23. jūnijs	23 juin
19. jūnijs	19 juin
18. jūnijs	18 juin
21. jūnijs	21 juin
17. jūnijs	17 juin
Čaks Noriss	Chuck Norris
U.S. Città di Palermo	Unione Sportiva Città di Palermo
23. decembris	23 décembre
Vilhelms II Hohencollerns	Guillaume II (empereur allemand)
Gomeļa	Homiel
Brūss Viliss	Bruce Willis
Parma	Parme
Vladimira	Vladimir (ville)
Arnolds Švarcenegers	Arnold Schwarzenegger
15. jūlijs	15 juillet
13. jūlijs	13 juillet
12. jūlijs	12 juillet
10. jūlijs	10 juillet
9. jūlijs	9 juillet
14. jūlijs	14 juillet
8. jūlijs	8 juillet
Parma FC	Parme Football Club
7. jūlijs	7 juillet
6. jūlijs	6 juillet
5. jūlijs	5 juillet
2. jūlijs	2 juillet
4. jūlijs	4 juillet
3. jūlijs	3 juillet
1. jūlijs	1er juillet
11. jūlijs	11 juillet
Vladimiras apgabals	Oblast de Vladimir
Peskāra	Pescara
24. decembris	24 décembre
Brēmerhāfene	Bremerhaven
Saša Greja	Sasha Grey
Watford F.C.	Watford Football Club
31. jūlijs	31 juillet
30. jūlijs	30 juillet
29. jūlijs	29 juillet
28. jūlijs	28 juillet
27. jūlijs	27 juillet
25. jūlijs	25 juillet
24. jūlijs	24 juillet
23. jūlijs	23 juillet
26. jūlijs	26 juillet
22. jūlijs	22 juillet
19. jūlijs	19 juillet
21. jūlijs	21 juillet
20. jūlijs	20 juillet
17. jūlijs	17 juillet
18. jūlijs	18 juillet
16. jūlijs	16 juillet
Skerņevice	Skierniewice
Futbols	Football
Luijs de Finess	Louis de Funès
AS Roma	Associazione Sportiva Roma
Minstere	Münster
X-faili. Slepenās lietas	X-Files : Aux frontières du réel
25. decembris	25 décembre
Rjazaņa	Riazan
Augsburga	Augsbourg
Sjēna	Sienne
Rjazaņas apgabals	Oblast de Riazan
Jaroslavs Hašeks	Jaroslav Hašek
1963. gads	1963
Lehs Kačiņskis	Lech Kaczyński
Menhengladbaha	Mönchengladbach
26. decembris	26 décembre
Holokausts	Shoah
1962. gads	1962
Gelzenkirhene	Gelsenkirchen
IPhone	IPhone
Torino F.C.	Torino Football Club
Tula	Toula
Braunšveiga	Brunswick (Basse-Saxe)
14. augusts	14 août
15. augusts	15 août
13. augusts	13 août
12. augusts	12 août
11. augusts	11 août
10. augusts	10 août
8. augusts	8 août
7. augusts	7 août
9. augusts	9 août
5. augusts	5 août
4. augusts	4 août
2. augusts	2 août
3. augusts	3 août
6. augusts	6 août
1. augusts	1er août
Udīne	Udine
Džeronimo	Geronimo
Tulas apgabals	Oblast de Toula
Brāļi Grimmi	Jacob et Wilhelm Grimm
Hemnica	Chemnitz
IPad	IPad
Udinese Calcio	Udinese Calcio
27. decembris	27 décembre
Brjanska	Briansk
Krēfelde	Krefeld
Madride	Madrid
Eltons Džons	Elton John
Brjanskas apgabals	Oblast de Briansk
Zemūdene	Sous-marin
16. augusts	16 août
Coca-Cola	Coca-Cola
Halle	Halle (Saxe-Anhalt)
29. augusts	29 août
28. augusts	28 août
30. augusts	30 août
25. augusts	25 août
26. augusts	26 août
23. augusts	23 août
27. augusts	27 août
21. augusts	21 août
20. augusts	20 août
24. augusts	24 août
18. augusts	18 août
17. augusts	17 août
22. augusts	22 août
