Aphrika	Afrique
1924	1924
Arawkaniya suyu	Région d'Araucanie
Mayukuna suyu	Région des Fleuves
Quchakuna suyu	Région des Lacs
Aisén suyu	Région Aisén del General Carlos Ibáñez del Campo
Georges Pompidou	Georges Pompidou
Magallanes Antartika suyu	Région de Magallanes et de l'Antarctique chilien
Sit'i pachahina	Planète naine
5 ñiqin qhulla puquy killapi	5 janvier
Arika	Arica (Chili)
6 ñiqin qhulla puquy killapi	6 janvier
Iliktrun	Électron
7 ñiqin qhulla puquy killapi	7 janvier
8 ñiqin qhulla puquy killapi	8 janvier
Velikiy Novgorod	Novgorod
9 ñiqin qhulla puquy killapi	9 janvier
10 ñiqin qhulla puquy killapi	10 janvier
11 ñiqin qhulla puquy killapi	11 janvier
12 ñiqin qhulla puquy killapi	12 janvier
13 ñiqin qhulla puquy killapi	13 janvier
Birmingham	Birmingham
14 ñiqin qhulla puquy killapi	14 janvier
15 ñiqin qhulla puquy killapi	15 janvier
16 ñiqin qhulla puquy killapi	16 janvier
17 ñiqin qhulla puquy killapi	17 janvier
18 ñiqin qhulla puquy killapi	18 janvier
19 ñiqin qhulla puquy killapi	19 janvier
20 ñiqin qhulla puquy killapi	20 janvier
21 ñiqin qhulla puquy killapi	21 janvier
22 ñiqin qhulla puquy killapi	22 janvier
23 ñiqin qhulla puquy killapi	23 janvier
Rumaki qhapaq llaqta	Empire romain
24 ñiqin qhulla puquy killapi	24 janvier
25 ñiqin qhulla puquy killapi	25 janvier
Minsk	Minsk
26 ñiqin qhulla puquy killapi	26 janvier
Microsoft	Microsoft
27 ñiqin qhulla puquy killapi	27 janvier
28 ñiqin qhulla puquy killapi	28 janvier
29 ñiqin qhulla puquy killapi	29 janvier
30 ñiqin qhulla puquy killapi	30 janvier
31 ñiqin qhulla puquy killapi	31 janvier
Prutun	Proton
2 ñiqin qhapaq raymi killapi	2 décembre
1 ñiqin qhapaq raymi killapi	1er décembre
3 ñiqin qhapaq raymi killapi	3 décembre
7 ñiqin qhapaq raymi killapi	7 décembre
5 ñiqin qhapaq raymi killapi	5 décembre
8 ñiqin qhapaq raymi killapi	8 décembre
10 ñiqin qhapaq raymi killapi	10 décembre
6 ñiqin qhapaq raymi killapi	6 décembre
9 ñiqin qhapaq raymi killapi	9 décembre
Pink Floyd	Pink Floyd
4 ñiqin qhapaq raymi killapi	4 décembre
1 ñiqin hatun puquy killapi	1er février
2 ñiqin hatun puquy killapi	2 février
Yanuna kachi	Chlorure de sodium
3 ñiqin hatun puquy killapi	3 février
Kurów	Kurów
4 ñiqin hatun puquy killapi	4 février
5 ñiqin hatun puquy killapi	5 février
6 ñiqin hatun puquy killapi	6 février
7 ñiqin hatun puquy killapi	7 février
8 ñiqin hatun puquy killapi	8 février
9 ñiqin hatun puquy killapi	9 février
10 ñiqin hatun puquy killapi	10 février
Chaqllisinchi	Chimie
14 ñiqin hatun puquy killapi	14 février
13 ñiqin hatun puquy killapi	13 février
15 ñiqin hatun puquy killapi	15 février
11 ñiqin hatun puquy killapi	11 février
12 ñiqin hatun puquy killapi	12 février
Robin van Persie	Robin van Persie
19 ñiqin hatun puquy killapi	19 février
17 ñiqin hatun puquy killapi	17 février
16 ñiqin hatun puquy killapi	16 février
18 ñiqin hatun puquy killapi	18 février
20 ñiqin hatun puquy killapi	20 février
Niwtrun	Neutron
21 ñiqin hatun puquy killapi	21 février
22 ñiqin hatun puquy killapi	22 février
23 ñiqin hatun puquy killapi	23 février
24 ñiqin hatun puquy killapi	24 février
25 ñiqin hatun puquy killapi	25 février
26 ñiqin hatun puquy killapi	26 février
27	27
27 ñiqin hatun puquy killapi	27 février
28 ñiqin hatun puquy killapi	28 février
11 ñiqin qhapaq raymi killapi	11 décembre
29 ñiqin hatun puquy killapi	29 février
12 ñiqin qhapaq raymi killapi	12 décembre
13 ñiqin qhapaq raymi killapi	13 décembre
14 ñiqin qhapaq raymi killapi	14 décembre
15 ñiqin qhapaq raymi killapi	15 décembre
2 ñiqin pawqar waray killapi	2 mars
3 ñiqin pawqar waray killapi	3 mars
5 ñiqin pawqar waray killapi	5 mars
1 ñiqin pawqar waray killapi	1er mars
7 ñiqin pawqar waray killapi	7 mars
8 ñiqin pawqar waray killapi	8 mars
4 ñiqin pawqar waray killapi	4 mars
10 ñiqin pawqar waray killapi	10 mars
11 ñiqin pawqar waray killapi	11 mars
6 ñiqin pawqar waray killapi	6 mars
13 ñiqin pawqar waray killapi	13 mars
9 ñiqin pawqar waray killapi	9 mars
12 ñiqin pawqar waray killapi	12 mars
15 ñiqin pawqar waray killapi	15 mars
14 ñiqin pawqar waray killapi	14 mars
16 ñiqin qhapaq raymi killapi	16 décembre
17 ñiqin qhapaq raymi killapi	17 décembre
16 ñiqin pawqar waray killapi	16 mars
17 ñiqin pawqar waray killapi	17 mars
18 ñiqin pawqar waray killapi	18 mars
Jaroslavl	Iaroslavl
19 ñiqin pawqar waray killapi	19 mars
1989	1989
1988	1988
20 ñiqin pawqar waray killapi	20 mars
1987	1987
1986	1986
1985	1985
1984	1984
21 ñiqin pawqar waray killapi	21 mars
1983	1983
22 ñiqin pawqar waray killapi	22 mars
1982	1982
1981	1981
18 ñiqin qhapaq raymi killapi	18 décembre
1980	1980
23 ñiqin pawqar waray killapi	23 mars
Mugadishu	Mogadiscio
19 ñiqin qhapaq raymi killapi	19 décembre
24 ñiqin pawqar waray killapi	24 mars
25 ñiqin pawqar waray killapi	25 mars
20 ñiqin qhapaq raymi killapi	20 décembre
26 ñiqin pawqar waray killapi	26 mars
27 ñiqin pawqar waray killapi	27 mars
28 ñiqin pawqar waray killapi	28 mars
29 ñiqin pawqar waray killapi	29 mars
30 ñiqin pawqar waray killapi	30 mars
31 ñiqin pawqar waray killapi	31 mars
Nassau	Nassau (Bahamas)
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Konrad Adenauer	Konrad Adenauer
Binidiktu XVI	Benoît XVI
15 ñiqin ayriway killapi	15 avril
13 ñiqin ayriway killapi	13 avril
12 ñiqin ayriway killapi	12 avril
14 ñiqin ayriway killapi	14 avril
11 ñiqin ayriway killapi	11 avril
10 ñiqin ayriway killapi	10 avril
8 ñiqin ayriway killapi	8 avril
9 ñiqin ayriway killapi	9 avril
7 ñiqin ayriway killapi	7 avril
6 ñiqin ayriway killapi	6 avril
5 ñiqin ayriway killapi	5 avril
4 ñiqin ayriway killapi	4 avril
3 ñiqin ayriway killapi	3 avril
1 ñiqin ayriway killapi	1er avril
2 ñiqin ayriway killapi	2 avril
Willy Brandt	Willy Brandt
Helmut Schmidt	Helmut Schmidt
Helmut Kohl	Helmut Kohl
16 ñiqin ayriway killapi	16 avril
17 ñiqin ayriway killapi	17 avril
18 ñiqin ayriway killapi	18 avril
19 ñiqin ayriway killapi	19 avril
20 ñiqin ayriway killapi	20 avril
21 ñiqin ayriway killapi	21 avril
22 ñiqin ayriway killapi	22 avril
23 ñiqin ayriway killapi	23 avril
24 ñiqin ayriway killapi	24 avril
Gerhard Schröder	Gerhard Schröder
25 ñiqin ayriway killapi	25 avril
26 ñiqin ayriway killapi	26 avril
27 ñiqin ayriway killapi	27 avril
28 ñiqin ayriway killapi	28 avril
29 ñiqin ayriway killapi	29 avril
30 ñiqin ayriway killapi	30 avril
Killa Satiliti	Satellite naturel
Joachim Gauck	Joachim Gauck
Christian Wulff	Christian Wulff
Horst Köhler	Horst Köhler
1 ñiqin aymuray killapi	1er mai
2 ñiqin aymuray killapi	2 mai
3 ñiqin aymuray killapi	3 mai
4 ñiqin aymuray killapi	4 mai
5 ñiqin aymuray killapi	5 mai
6 ñiqin aymuray killapi	6 mai
7 ñiqin aymuray killapi	7 mai
8 ñiqin aymuray killapi	8 mai
9 ñiqin aymuray killapi	9 mai
10 ñiqin aymuray killapi	10 mai
11 ñiqin aymuray killapi	11 mai
12 ñiqin aymuray killapi	12 mai
13 ñiqin aymuray killapi	13 mai
14 ñiqin aymuray killapi	14 mai
15 ñiqin aymuray killapi	15 mai
16 ñiqin aymuray killapi	16 mai
17 ñiqin aymuray killapi	17 mai
18 ñiqin aymuray killapi	18 mai
19 ñiqin aymuray killapi	19 mai
20 ñiqin aymuray killapi	20 mai
21 ñiqin aymuray killapi	21 mai
22 ñiqin aymuray killapi	22 mai
23 ñiqin aymuray killapi	23 mai
24 ñiqin aymuray killapi	24 mai
25 ñiqin aymuray killapi	25 mai
26 ñiqin aymuray killapi	26 mai
27 ñiqin aymuray killapi	27 mai
28 ñiqin aymuray killapi	28 mai
29 ñiqin aymuray killapi	29 mai
30 ñiqin aymuray killapi	30 mai
31 ñiqin aymuray killapi	31 mai
Paul MacCartney	Paul McCartney
21 ñiqin qhapaq raymi killapi	21 décembre
Piyu XII	Pie XII
Erich Honecker	Erich Honecker
SS Lazio	Società Sportiva Lazio
14 ñiqin inti raymi killapi	14 juin
15 ñiqin inti raymi killapi	15 juin
13 ñiqin inti raymi killapi	13 juin
10 ñiqin inti raymi killapi	10 juin
7 ñiqin inti raymi killapi	7 juin
11 ñiqin inti raymi killapi	11 juin
9 ñiqin inti raymi killapi	9 juin
12 ñiqin inti raymi killapi	12 juin
6 ñiqin inti raymi killapi	6 juin
8 ñiqin inti raymi killapi	8 juin
5 ñiqin inti raymi killapi	5 juin
3 ñiqin inti raymi killapi	3 juin
2 ñiqin inti raymi killapi	2 juin
1 ñiqin inti raymi killapi	1er juin
4 ñiqin inti raymi killapi	4 juin
Napoli	Naples
22 ñiqin qhapaq raymi killapi	22 décembre
SSC Napoli	SSC Naples
George Harrison	George Harrison
1968	1968
Friedrich Ebert	Friedrich Ebert
1967	1967
1966	1966
1965	1965
1964	1964
16 ñiqin inti raymi killapi	16 juin
Palermo	Palerme
30 ñiqin inti raymi killapi	30 juin
29 ñiqin inti raymi killapi	29 juin
28 ñiqin inti raymi killapi	28 juin
26 ñiqin inti raymi killapi	26 juin
25 ñiqin inti raymi killapi	25 juin
22 ñiqin inti raymi killapi	22 juin
27 ñiqin inti raymi killapi	27 juin
24 ñiqin inti raymi killapi	24 juin
20 ñiqin inti raymi killapi	20 juin
Paul von Hindenburg	Paul von Hindenburg
23 ñiqin inti raymi killapi	23 juin
19 ñiqin inti raymi killapi	19 juin
18 ñiqin inti raymi killapi	18 juin
21 ñiqin inti raymi killapi	21 juin
17 ñiqin inti raymi killapi	17 juin
23 ñiqin qhapaq raymi killapi	23 décembre
Wilhelm II	Guillaume II (empereur allemand)
Parma	Parme
Vladimir	Vladimir (ville)
15 ñiqin anta situwa killapi	15 juillet
13 ñiqin anta situwa killapi	13 juillet
12 ñiqin anta situwa killapi	12 juillet
10 ñiqin anta situwa killapi	10 juillet
9 ñiqin anta situwa killapi	9 juillet
14 ñiqin anta situwa killapi	14 juillet
8 ñiqin anta situwa killapi	8 juillet
Parma FC	Parme Football Club
7 ñiqin anta situwa killapi	7 juillet
6 ñiqin anta situwa killapi	6 juillet
5 ñiqin anta situwa killapi	5 juillet
2 ñiqin anta situwa killapi	2 juillet
4 ñiqin anta situwa killapi	4 juillet
3 ñiqin anta situwa killapi	3 juillet
1 ñiqin anta situwa killapi	1er juillet
11 ñiqin anta situwa killapi	11 juillet
24 ñiqin qhapaq raymi killapi	24 décembre
31 ñiqin anta situwa killapi	31 juillet
30 ñiqin anta situwa killapi	30 juillet
29 ñiqin anta situwa killapi	29 juillet
28 ñiqin anta situwa killapi	28 juillet
27 ñiqin anta situwa killapi	27 juillet
25 ñiqin anta situwa killapi	25 juillet
24 ñiqin anta situwa killapi	24 juillet
23 ñiqin anta situwa killapi	23 juillet
26 ñiqin anta situwa killapi	26 juillet
22 ñiqin anta situwa killapi	22 juillet
19 ñiqin anta situwa killapi	19 juillet
21 ñiqin anta situwa killapi	21 juillet
20 ñiqin anta situwa killapi	20 juillet
17 ñiqin anta situwa killapi	17 juillet
18 ñiqin anta situwa killapi	18 juillet
16 ñiqin anta situwa killapi	16 juillet
Piluta hayt'ay	Football
AS Roma	Associazione Sportiva Roma
25 ñiqin qhapaq raymi killapi	25 décembre
Siena	Sienne
1963	1963
Lech Kaczyński	Lech Kaczyński
26 ñiqin qhapaq raymi killapi	26 décembre
Ulukawstu	Shoah
1962	1962
14 ñiqin chakra yapuy killapi	14 août
15 ñiqin chakra yapuy killapi	15 août
13 ñiqin chakra yapuy killapi	13 août
12 ñiqin chakra yapuy killapi	12 août
11 ñiqin chakra yapuy killapi	11 août
10 ñiqin chakra yapuy killapi	10 août
8 ñiqin chakra yapuy killapi	8 août
7 ñiqin chakra yapuy killapi	7 août
9 ñiqin chakra yapuy killapi	9 août
5 ñiqin chakra yapuy killapi	5 août
4 ñiqin chakra yapuy killapi	4 août
2 ñiqin chakra yapuy killapi	2 août
3 ñiqin chakra yapuy killapi	3 août
6 ñiqin chakra yapuy killapi	6 août
1 ñiqin chakra yapuy killapi	1er août
Grimm wawqikuna	Jacob et Wilhelm Grimm
27 ñiqin qhapaq raymi killapi	27 décembre
Madrid	Madrid
Elton John	Elton John
16 ñiqin chakra yapuy killapi	16 août
29 ñiqin chakra yapuy killapi	29 août
28 ñiqin chakra yapuy killapi	28 août
30 ñiqin chakra yapuy killapi	30 août
25 ñiqin chakra yapuy killapi	25 août
26 ñiqin chakra yapuy killapi	26 août
23 ñiqin chakra yapuy killapi	23 août
27 ñiqin chakra yapuy killapi	27 août
21 ñiqin chakra yapuy killapi	21 août
20 ñiqin chakra yapuy killapi	20 août
24 ñiqin chakra yapuy killapi	24 août
18 ñiqin chakra yapuy killapi	18 août
17 ñiqin chakra yapuy killapi	17 août
22 ñiqin chakra yapuy killapi	22 août
19 ñiqin chakra yapuy killapi	19 août
31 ñiqin chakra yapuy killapi	31 août
Michael Jackson	Michael Jackson
28 ñiqin qhapaq raymi killapi	28 décembre
Chhulli	Grippe
Bogotá	Bogota
Brasilia	Brasilia
15 ñiqin tarpuy killapi	15 septembre
14 ñiqin tarpuy killapi	14 septembre
13 ñiqin tarpuy killapi	13 septembre
12 ñiqin tarpuy killapi	12 septembre
8 ñiqin tarpuy killapi	8 septembre
11 ñiqin tarpuy killapi	11 septembre
7 ñiqin tarpuy killapi	7 septembre
10 ñiqin tarpuy killapi	10 septembre
5 ñiqin tarpuy killapi	5 septembre
4 ñiqin tarpuy killapi	4 septembre
9 ñiqin tarpuy killapi	9 septembre
2 ñiqin tarpuy killapi	2 septembre
6 ñiqin tarpuy killapi	6 septembre
1 ñiqin tarpuy killapi	1er septembre
3 ñiqin tarpuy killapi	3 septembre
29 ñiqin qhapaq raymi killapi	29 décembre
Aleksandr Lukașenko	Alexandre Loukachenko
Limaq	Lima
30 ñiqin tarpuy killapi	30 septembre
29 ñiqin tarpuy killapi	29 septembre
28 ñiqin tarpuy killapi	28 septembre
27 ñiqin tarpuy killapi	27 septembre
26 ñiqin tarpuy killapi	26 septembre
25 ñiqin tarpuy killapi	25 septembre
Chili Santiyayu	Santiago
23 ñiqin tarpuy killapi	23 septembre
22 ñiqin tarpuy killapi	22 septembre
24 ñiqin tarpuy killapi	24 septembre
21 ñiqin tarpuy killapi	21 septembre
20 ñiqin tarpuy killapi	20 septembre
18 ñiqin tarpuy killapi	18 septembre
17 ñiqin tarpuy killapi	17 septembre
19 ñiqin tarpuy killapi	19 septembre
16 ñiqin tarpuy killapi	16 septembre
Kitu	Quito
30 ñiqin qhapaq raymi killapi	30 décembre
Chuqichaka	Sucre (Bolivie)
Antoine de Saint-Exupéry	Antoine de Saint-Exupéry
31 ñiqin qhapaq raymi killapi	31 décembre
1 ñiqin kantaray killapi	1er octobre
15 ñiqin kantaray killapi	15 octobre
12 ñiqin kantaray killapi	12 octobre
10 ñiqin kantaray killapi	10 octobre
14 ñiqin kantaray killapi	14 octobre
9 ñiqin kantaray killapi	9 octobre
8 ñiqin kantaray killapi	8 octobre
13 ñiqin kantaray killapi	13 octobre
7 ñiqin kantaray killapi	7 octobre
11 ñiqin kantaray killapi	11 octobre
6 ñiqin kantaray killapi	6 octobre
4 ñiqin kantaray killapi	4 octobre
5 ñiqin kantaray killapi	5 octobre
3 ñiqin kantaray killapi	3 octobre
2 ñiqin kantaray killapi	2 octobre
Asunción	Asuncion
Kawra	Chèvre
Chiku	Veau
31 ñiqin kantaray killapi	31 octobre
30 ñiqin kantaray killapi	30 octobre
29 ñiqin kantaray killapi	29 octobre
28 ñiqin kantaray killapi	28 octobre
26 ñiqin kantaray killapi	26 octobre
25 ñiqin kantaray killapi	25 octobre
24 ñiqin kantaray killapi	24 octobre
27 ñiqin kantaray killapi	27 octobre
22 ñiqin kantaray killapi	22 octobre
23 ñiqin kantaray killapi	23 octobre
20 ñiqin kantaray killapi	20 octobre
21 ñiqin kantaray killapi	21 octobre
19 ñiqin kantaray killapi	19 octobre
17 ñiqin kantaray killapi	17 octobre
16 ñiqin kantaray killapi	16 octobre
18 ñiqin kantaray killapi	18 octobre
Heidelberg	Heidelberg
Darmstadt	Darmstadt
Kathidral	Cathédrale
Qispi kay	Liberté
15 ñiqin ayamarq'a killapi	15 novembre
14 ñiqin ayamarq'a killapi	14 novembre
13 ñiqin ayamarq'a killapi	13 novembre
12 ñiqin ayamarq'a killapi	12 novembre
11 ñiqin ayamarq'a killapi	11 novembre
10 ñiqin ayamarq'a killapi	10 novembre
7 ñiqin ayamarq'a killapi	7 novembre
8 ñiqin ayamarq'a killapi	8 novembre
9 ñiqin ayamarq'a killapi	9 novembre
6 ñiqin ayamarq'a killapi	6 novembre
5 ñiqin ayamarq'a killapi	5 novembre
4 ñiqin ayamarq'a killapi	4 novembre
3 ñiqin ayamarq'a killapi	3 novembre
2 ñiqin ayamarq'a killapi	2 novembre
1 ñiqin ayamarq'a killapi	1er novembre
Paramaribo	Paramaribo
30 ñiqin ayamarq'a killapi	30 novembre
29 ñiqin ayamarq'a killapi	29 novembre
28 ñiqin ayamarq'a killapi	28 novembre
27 ñiqin ayamarq'a killapi	27 novembre
26 ñiqin ayamarq'a killapi	26 novembre
25 ñiqin ayamarq'a killapi	25 novembre
23 ñiqin ayamarq'a killapi	23 novembre
24 ñiqin ayamarq'a killapi	24 novembre
21 ñiqin ayamarq'a killapi	21 novembre
20 ñiqin ayamarq'a killapi	20 novembre
22 ñiqin ayamarq'a killapi	22 novembre
19 ñiqin ayamarq'a killapi	19 novembre
18 ñiqin ayamarq'a killapi	18 novembre
17 ñiqin ayamarq'a killapi	17 novembre
16 ñiqin ayamarq'a killapi	16 novembre
Belmopan	Belmopan
Carolus Magnus	Charlemagne
San José (Kustarika)	San José (Costa Rica)
San Salvador	San Salvador (Salvador)
Canberra	Canberra
Sydney	Sydney
Q'umir	Vert
Melbourne	Melbourne
Puka	Rouge
Perth	Perth (Australie-Occidentale)
Nina	Feu
Pusitrun	Positron
Wayra pacha	Atmosphère terrestre
Tegucigalpa	Tegucigalpa
Winnipeg qucha	Lac Winnipeg
Managua	Managua
Panama llaqta	Panama (ville)
George Orwell	George Orwell
Trento	Trente (Italie)
Nabus	Brassica rapa
Nilu mayu	Nil
Chuqichinchay warani	Sirius
Ancona	Ancône
Perugia	Pérouse
Qarawasu	Oscar (poisson)
Wakupa	Cichla
Kungu mayu	Congo (fleuve)
Bari	Bari
Niqir mayu	Niger (fleuve)
Potenza	Potenza
Rabat	Rabat
Aquchinchay	Comète
Tunis	Tunis
Tripoli	Tripoli (Libye)
Ancud	Ancud
Angol	Angol
Antofagasta	Antofagasta
Tehran	Téhéran
Adis Ababa	Addis-Abeba
Jakarta	Jakarta
Warmi suwa challwa	Mesonauta festivus
Ankara	Ankara
Niamey	Niamey
Kalama	Calama (Chili)
Riyad	Riyad
1961	1961
Beograd	Belgrade
Dakar	Dakar
Qhamiña	Camiña
Wisaw	Bissau
1960	1960
Hawa wat'a	Java (île)
Accra	Accra
Chiguayante	Chiguayante
Dimashq	Damas
Ransis Wayana	Guyane
Chillán	Chillán
Awqaq sipaskuna mayu	Amazone (fleuve)
Abuja	Abuja
Amman	Amman
Tübingen	Tübingen
Yaoundé	Yaoundé
Coyhaique	Coyhaique
Kinshasa	Kinshasa
Qullchani	Colchane
Brazzaville	Brazzaville
Bujumbura	Bujumbura
Kigali	Kigali
Puriq quyllurcha	Astéroïde
Dodoma	Dodoma
Qhupiyapu	Copiapó
Nairobi	Nairobi
Kukimpu	Coquimbo
Coronel (Chili)	Coronel (Chili)
Corral	Corral (Chili)
Lusaka	Lusaka
Catanzaro	Catanzaro
Maputu	Maputo
Kampala	Kampala
Luanda	Luanda
Muruni	Moroni (Comores)
Galisya	Galice
Yachay wasi	École
Yachay suntur	Université
Gaborone	Gaborone
Grace Kelly	Grace Kelly
Wikipidiya:Allinmi hamusqaykichik	Aide:Premiers pas
Kantawriya	Cantabrie
Wasi	Maison
Awstralya allpa pacha	Continent australien
Sinchi kaq	Matériel informatique
Qillqanancha kamay	Algèbre
Yuskadi	Pays basque (communauté autonome)
Runap kurkun	Anatomie humaine
Nawarra	Communauté forale de Navarre
Mayu	Rivière
Paul Simon	Paul Simon (chanteur)
Osasco	Osasco (Brésil)
Aragun	Aragon (communauté autonome)
36 kñ	36 av. J.-C.
20 kñ	20 av. J.-C.
40 kñ	40 av. J.-C.
39 kñ	39 av. J.-C.
Urnu ñawch'i	Cap Horn
37 kñ	37 av. J.-C.
22 kñ	22 av. J.-C.
38 kñ	38 av. J.-C.
Glasgow	Glasgow
28 kñ	28 av. J.-C.
18 kñ	18 av. J.-C.
15 kñ	15 av. J.-C.
33 kñ	33 av. J.-C.
30 kñ	30 av. J.-C.
12 kñ	12 av. J.-C.
Dong Hoi antanka pampa	Aéroport de Đồng Hới
Ch'usaq pacha	Espace (cosmologie)
45 kñ	45 av. J.-C.
46 kñ	46 av. J.-C.
41 kñ	41 av. J.-C.
49 kñ	49 av. J.-C.
42 kñ	42 av. J.-C.
25 kñ	25 av. J.-C.
47 kñ	47 av. J.-C.
10 kñ	10 av. J.-C.
Michel Platini	Michel Platini
Katiguriya:Wiñay kawsay (Uruwayi)	Catégorie:Histoire de l'Uruguay
Curitiba	Curitiba
Katiguriya:Umalliq (Khiniya)	Catégorie:Président de Guinée
Sach'a-sach'a	Forêt
Katiguriya:Wiñay kawsay (Nihun)	Catégorie:Histoire du Japon
Katiguriya:1888	Catégorie:1888
Piyu VIII	Pie VIII
Binidiktu XV	Benoît XV
Franz Beckenbauer	Franz Beckenbauer
Joachim Löw	Joachim Löw
Talka	Talca
Piruwpa wallqanqan	Armoiries du Pérou
Andalién	Río Andalién
Jonathan Winters	Jonathan Winters
Katiguriya:Wiñay kawsay (Hurdanya)	Catégorie:Histoire de la Jordanie
Katiguriya:1421	Catégorie:1421
Katiguriya:1481	Catégorie:1481
Sean Connery	Sean Connery
Iyobpa qillqasqan	Livre de Job
Rimakuykunamanta qillqasqa	Livre des Proverbes
Rancagua	Rancagua
Khunfuqi	Confucius
Marilyn Monroe	Marilyn Monroe
Corbin Bleu	Corbin Bleu
Karnawal	Carnaval
Katiguriya:Yupana	Catégorie:Mathématiques
Katiguriya:Wallpasqa rimay	Catégorie:Langue construite
Aymara simi	Aymara
Pharuy	Îles Féroé
Mohamed Morsi	Mohamed Morsi
107 kñ	107 av. J.-C.
Claude Debussy	Claude Debussy
143 kñ	143 av. J.-C.
Barquisimeto	Barquisimeto
Le Corbusier	Le Corbusier
126 kñ	126 av. J.-C.
116 kñ	116 av. J.-C.
136 kñ	136 av. J.-C.
Tapyamach'aqway	Gymnophiona
Katiguriya:Umalliq (Unduras)	Catégorie:Président du Honduras
113 kñ	113 av. J.-C.
Q'isa	Nid
140 kñ	140 av. J.-C.
150 kñ	150 av. J.-C.
Tunu	Colonne (architecture)
Katiguriya:Paqarisqa 1888	Catégorie:Naissance en 1888
130 kñ	130 av. J.-C.
1488	1488
Iwru	Euro
Amirikanu dollar	Dollar américain
Allpapura hatun qucha	Mer Méditerranée
Larry Page	Larry Page
Piruwpa llaqta takin	Hymne national du Pérou
Hangzhou	Hangzhou
Katiguriya:Yachay suntur (Mama llaqta)	Catégorie:Université par pays
Kristiyanu iñiy	Christianisme
1004	1004
Plantilla:Support	Modèle:Pour
Aoraki Urqu	Aoraki/Mont Cook
Seattle (Washington)	Seattle
Berlin pirqa	Mur de Berlin
Arrus	Riz
Baltimore (Maryland)	Baltimore
Céline Dion	Céline Dion
Allpa pacha	Continent
Plantilla:ALA	Modèle:Åland
Adelaide	Adélaïde (Australie)
Pisqu	Oiseau
Uma llaqta	Capitale
Munsun (Ispaña)	Monzón
Gujarati simi	Gujarati
Purtuyis simi	Portugais
Killa pacha	Mois
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
1948	1948
Q'aytu kuru	Nematoda
1949	1949
Almazán	Almazán
Huang Xianfan	Huang Xianfan
Qhichwa simi	Quechua
1956	1956
1200	1200
1201	1201
1202	1202
1203	1203
1204	1204
1205	1205
1206	1206
1941	1941
1207	1207
1208	1208
1945	1945
1209	1209
1210	1210
1211	1211
1958	1958
1212	1212
1926	1926
1213	1213
1947	1947
1944	1944
1952	1952
Q'ispi umiña	Diamant
Bill Gates	Bill Gates
Nihun simi	Japonais
Qhawana pampa	Écran d'ordinateur
Ñit'isqa ñawra phiruru	DVD
Qhapaq p'anqa	Wikipédia:Accueil principal
1959	1959
1957	1957
Pinchikilla kurur	Inducteur
Saratow	Saratov
1214	1214
1215	1215
Isanka rump'u	Basket-ball
1216	1216
Sirp'i pukllay	Cricket
1217	1217
1218	1218
David Bowie	David Bowie
Antawa llallinakuy	Compétition automobile
1219	1219
Apuwasinyuq pukllaykuna	Jeux olympiques
1220	1220
1221	1221
1222	1222
1223	1223
Iwrasya	Eurasie
1224	1224
1225	1225
1226	1226
1227	1227
1228	1228
1229	1229
1230	1230
Yangsi mayu	Yangzi Jiang
1231	1231
1232	1232
Missouri mayu	Missouri (rivière)
1233	1233
1234	1234
1235	1235
1236	1236
1237	1237
Francisco Goya	Francisco de Goya
1238	1238
1239	1239
1240	1240
1241	1241
1242	1242
1243	1243
1244	1244
1245	1245
1246	1246
Himalaya	Himalaya
Antikuna	Cordillère des Andes
Treviso	Trévise
1247	1247
1248	1248
Kaspi hatun qucha	Mer Caspienne
1249	1249
1250	1250
Erie qucha	Lac Érié
1251	1251
1252	1252
1253	1253
1254	1254
1255	1255
1256	1256
1257	1257
Ñansa qucha	Lac Victoria
1258	1258
1259	1259
1260	1260
1261	1261
1262	1262
Tanganika qucha	Lac Tanganyika
1263	1263
Paygal qucha	Lac Baïkal
1264	1264
1265	1265
1266	1266
1267	1267
1268	1268
1269	1269
1270	1270
1271	1271
1272	1272
Sahtu qucha	Grand lac de l'Ours
1273	1273
1274	1274
1275	1275
1276	1276
1277	1277
Malawi qucha	Lac Malawi
1278	1278
1279	1279
1280	1280
1281	1281
Hatun Isklaw qucha	Grand lac des Esclaves
