אפריקע	Afrique
18טן מערץ	18 mars
19טן מערץ	19 mars
1989	1989
1988	1988
20סטן מערץ	20 mars
1987	1987
1986	1986
1985	1985
1984	1984
21סטן מערץ	21 mars
1983	1983
22סטן מערץ	22 mars
1982	1982
1981	1981
18טן דעצעמבער	18 décembre
1980	1980
23סטן מערץ	23 mars
מאגאדישו	Mogadiscio
19טן דעצעמבער	19 décembre
24סטן מערץ	24 mars
25סטן מערץ	25 mars
20סטן דעצעמבער	20 décembre
26סטן מערץ	26 mars
27סטן מערץ	27 mars
28סטן מערץ	28 mars
29סטן מערץ	29 mars
30סטן מערץ	30 mars
31סטן מערץ	31 mars
סאנא	Sanaa
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
דרייסיג יעריגער קריג	Guerre de Trente Ans
קאנראד אדענאער	Konrad Adenauer
15טן אפריל	15 avril
13טן אפריל	13 avril
12טן אפריל	12 avril
14טן אפריל	14 avril
11טן אפריל	11 avril
10טן אפריל	10 avril
8טן אפריל	8 avril
9טן אפריל	9 avril
7טן אפריל	7 avril
6טן אפריל	6 avril
5טן אפריל	5 avril
4טן אפריל	4 avril
3טן אפריל	3 avril
1טן אפריל	1er avril
2טן אפריל	2 avril
16טן אפריל	16 avril
17טן אפריל	17 avril
18טן אפריל	18 avril
19טן אפריל	19 avril
20סטן אפריל	20 avril
21סטן אפריל	21 avril
22סטן אפריל	22 avril
23סטן אפריל	23 avril
24סטן אפריל	24 avril
25סטן אפריל	25 avril
26סטן אפריל	26 avril
27סטן אפריל	27 avril
28סטן אפריל	28 avril
29סטן אפריל	29 avril
30סטן אפריל	30 avril
1טן מיי	1er mai
2טן מיי	2 mai
3טן מיי	3 mai
4טן מיי	4 mai
5טן מיי	5 mai
6טן מיי	6 mai
7טן מיי	7 mai
8טן מיי	8 mai
9טן מיי	9 mai
10טן מיי	10 mai
11טן מיי	11 mai
12טן מיי	12 mai
13טן מיי	13 mai
14טן מיי	14 mai
15טן מיי	15 mai
16טן מיי	16 mai
17טן מיי	17 mai
18טן מיי	18 mai
19טן מיי	19 mai
20סטן מיי	20 mai
21סטן מיי	21 mai
22סטן מיי	22 mai
23סטן מיי	23 mai
24סטן מיי	24 mai
25סטן מיי	25 mai
26סטן מיי	26 mai
27סטן מיי	27 mai
28סטן מיי	28 mai
29סטן מיי	29 mai
30סטן מיי	30 mai
31סטן מיי	31 mai
21סטן דעצעמבער	21 décembre
14טן יוני	14 juin
15טן יוני	15 juin
13טן יוני	13 juin
10טן יוני	10 juin
7טן יוני	7 juin
11טן יוני	11 juin
9טן יוני	9 juin
12טן יוני	12 juin
6טן יוני	6 juin
8טן יוני	8 juin
5טן יוני	5 juin
3טן יוני	3 juin
2טן יוני	2 juin
1טן יוני	1er juin
4טן יוני	4 juin
נאפאלי	Naples
22סטן דעצעמבער	22 décembre
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
16טן יוני	16 juin
פאלערמא	Palerme
30סטן יוני	30 juin
29סטן יוני	29 juin
28סטן יוני	28 juin
26סטן יוני	26 juin
25סטן יוני	25 juin
22סטן יוני	22 juin
27סטן יוני	27 juin
24סטן יוני	24 juin
20סטן יוני	20 juin
23סטן יוני	23 juin
19טן יוני	19 juin
18טן יוני	18 juin
21סטן יוני	21 juin
17טן יוני	17 juin
23סטן דעצעמבער	23 décembre
ברוס וויליס	Bruce Willis
ארנאלד שווארצענעגער	Arnold Schwarzenegger
15טן יולי	15 juillet
13טן יולי	13 juillet
12טן יולי	12 juillet
10טן יולי	10 juillet
9טן יולי	9 juillet
14טן יולי	14 juillet
8טן יולי	8 juillet
7טן יולי	7 juillet
6טן יולי	6 juillet
5טן יולי	5 juillet
2טן יולי	2 juillet
4טן יולי	4 juillet
3טן יולי	3 juillet
1טן יולי	1er juillet
11טן יולי	11 juillet
24סטן דעצעמבער	24 décembre
31סטן יולי	31 juillet
30סטן יולי	30 juillet
29סטן יולי	29 juillet
28סטן יולי	28 juillet
27סטן יולי	27 juillet
25סטן יולי	25 juillet
24סטן יולי	24 juillet
23סטן יולי	23 juillet
26סטן יולי	26 juillet
22סטן יולי	22 juillet
19טן יולי	19 juillet
21סטן יולי	21 juillet
20סטן יולי	20 juillet
17טן יולי	17 juillet
18טן יולי	18 juillet
16טן יולי	16 juillet
פוטבאל	Football
25סטן דעצעמבער	25 décembre
1963	1963
26סטן דעצעמבער	26 décembre
חורבן אייראפע	Shoah
1962	1962
IPhone	IPhone
14טן אויגוסט	14 août
15טן אויגוסט	15 août
13טן אויגוסט	13 août
12טן אויגוסט	12 août
11טן אויגוסט	11 août
10טן אויגוסט	10 août
8טן אויגוסט	8 août
7טן אויגוסט	7 août
9טן אויגוסט	9 août
5טן אויגוסט	5 août
4טן אויגוסט	4 août
2טן אויגוסט	2 août
3טן אויגוסט	3 août
6טן אויגוסט	6 août
1טן אויגוסט	1er août
קעמניץ	Chemnitz
27סטן דעצעמבער	27 décembre
מאדריד	Madrid
סובמארין	Sous-marin
16טן אויגוסט	16 août
קאקא קאלע	Coca-Cola
29סטן אויגוסט	29 août
28סטן אויגוסט	28 août
30סטן אויגוסט	30 août
25סטן אויגוסט	25 août
26סטן אויגוסט	26 août
23סטן אויגוסט	23 août
27סטן אויגוסט	27 août
21סטן אויגוסט	21 août
20סטן אויגוסט	20 août
24סטן אויגוסט	24 août
18טן אויגוסט	18 août
17טן אויגוסט	17 août
22סטן אויגוסט	22 août
19טן אויגוסט	19 août
31סטן אויגוסט	31 août
מייקל זשעקסאן	Michael Jackson
28סטן דעצעמבער	28 décembre
גריפע	Grippe
באגאטא	Bogota
בראזיליא	Brasilia
15טן סעפטעמבער	15 septembre
14טן סעפטעמבער	14 septembre
13טן סעפטעמבער	13 septembre
12טן סעפטעמבער	12 septembre
8טן סעפטעמבער	8 septembre
11טן סעפטעמבער	11 septembre
7טן סעפטעמבער	7 septembre
10טן סעפטעמבער	10 septembre
5טן סעפטעמבער	5 septembre
4טן סעפטעמבער	4 septembre
9טן סעפטעמבער	9 septembre
2טן סעפטעמבער	2 septembre
6טן סעפטעמבער	6 septembre
1טן סעפטעמבער	1er septembre
3טן סעפטעמבער	3 septembre
29סטן דעצעמבער	29 décembre
לימא	Lima
קאנאדישע פראווינצן	Provinces et territoires du Canada
30סטן סעפטעמבער	30 septembre
29סטן סעפטעמבער	29 septembre
28סטן סעפטעמבער	28 septembre
27סטן סעפטעמבער	27 septembre
26סטן סעפטעמבער	26 septembre
25סטן סעפטעמבער	25 septembre
סאנטיאגא	Santiago
23סטן סעפטעמבער	23 septembre
22סטן סעפטעמבער	22 septembre
24סטן סעפטעמבער	24 septembre
21סטן סעפטעמבער	21 septembre
20סטן סעפטעמבער	20 septembre
18טן סעפטעמבער	18 septembre
17טן סעפטעמבער	17 septembre
19טן סעפטעמבער	19 septembre
16טן סעפטעמבער	16 septembre
קיטא	Quito
30סטן דעצעמבער	30 décembre
31סטן דעצעמבער	31 décembre
1טן אקטאבער	1er octobre
15טן אקטאבער	15 octobre
12טן אקטאבער	12 octobre
10טן אקטאבער	10 octobre
14טן אקטאבער	14 octobre
9טן אקטאבער	9 octobre
8טן אקטאבער	8 octobre
13טן אקטאבער	13 octobre
7טן אקטאבער	7 octobre
11טן אקטאבער	11 octobre
6טן אקטאבער	6 octobre
4טן אקטאבער	4 octobre
5טן אקטאבער	5 octobre
3טן אקטאבער	3 octobre
2טן אקטאבער	2 octobre
אסונסיאן	Asuncion
ציג	Chèvre
היסטאריע פון קאנאדע	Histoire du Canada
31סטן אקטאבער	31 octobre
30סטן אקטאבער	30 octobre
29סטן אקטאבער	29 octobre
28סטן אקטאבער	28 octobre
26סטן אקטאבער	26 octobre
25סטן אקטאבער	25 octobre
24סטן אקטאבער	24 octobre
27סטן אקטאבער	27 octobre
22סטן אקטאבער	22 octobre
23סטן אקטאבער	23 octobre
20סטן אקטאבער	20 octobre
21סטן אקטאבער	21 octobre
19טן אקטאבער	19 octobre
17טן אקטאבער	17 octobre
16טן אקטאבער	16 octobre
18טן אקטאבער	18 octobre
היידלבערג	Heidelberg
פריי	Liberté
15טן נאוועמבער	15 novembre
14טן נאוועמבער	14 novembre
13טן נאוועמבער	13 novembre
12טן נאוועמבער	12 novembre
11טן נאוועמבער	11 novembre
10טן נאוועמבער	10 novembre
7טן נאוועמבער	7 novembre
8טן נאוועמבער	8 novembre
9טן נאוועמבער	9 novembre
6טן נאוועמבער	6 novembre
5טן נאוועמבער	5 novembre
4טן נאוועמבער	4 novembre
3טן נאוועמבער	3 novembre
2טן נאוועמבער	2 novembre
1טן נאוועמבער	1er novembre
פאראמאריבא	Paramaribo
30סטן נאוועמבער	30 novembre
29סטן נאוועמבער	29 novembre
28סטן נאוועמבער	28 novembre
27סטן נאוועמבער	27 novembre
26סטן נאוועמבער	26 novembre
25סטן נאוועמבער	25 novembre
23סטן נאוועמבער	23 novembre
24סטן נאוועמבער	24 novembre
21סטן נאוועמבער	21 novembre
20סטן נאוועמבער	20 novembre
22סטן נאוועמבער	22 novembre
19טן נאוועמבער	19 novembre
18טן נאוועמבער	18 novembre
17טן נאוועמבער	17 novembre
16טן נאוועמבער	16 novembre
מיידל	Fille
קאטמאנדו	Katmandou
העלגאלאנד	Heligoland
בעלמאפאן	Belmopan
קארל דער גרויסער	Charlemagne
פיורדא	Fürth
סאן סאלוואדאר	San Salvador (Salvador)
קאנבערא	Canberra
סידני	Sydney
גרין	Vert
האדסאן טייך	Fleuve Hudson
מעלבארן	Melbourne
רויט	Rouge
פייער	Feu
ערד'ס אטמאספער	Atmosphère terrestre
טעגוסיגאלפע	Tegucigalpa
מאנאגוע	Managua
פאנאמא-שטאט	Panama (ville)
נילוס	Nil
הארטפארדשיר	Hertfordshire
אסקאר (פיש)	Oscar (poisson)
קאנגא טייך	Congo (fleuve)
בארי	Bari
ניזשער טייך	Niger (fleuve)
ראבאט, מאראקא	Rabat
קאמעט	Comète
אלזשירס	Alger
טריפאלי	Tripoli (Libye)
דזשיבוטי (שטאט)	Djibouti (ville)
אנטאפאגאסטא	Antofagasta
טעהראן	Téhéran
אדיס אבאבא	Addis-Abeba
דזשאקארטא	Jakarta
אנקארא	Ankara
נ'דזשאמענא	N'Djaména
ניאמיי	Niamey
נואקשוט	Nouakchott
ריאד	Riyad
1961	1961
באמאקא	Bamako
בעלגראד	Belgrade
דאקאר	Dakar
באנזשול	Banjul
קאנאקרי	Conakry
ביסאו	Bissau
קאַטעגאָריע:וויקיפעדיע מוסטערן	Catégorie:Espace Modèle
קאסטרא (טשילע)	Castro (Chili)
מאנראוויע	Monrovia
1960	1960
קאַטעגאָריע:מוסטערן קאטעגאריעס	Catégorie:Modèle par thème
אקרא	Accra
טשיגואיאנטע	Chiguayante
דמשק	Damas
יאמוסאקרא	Yamoussoukro
פראנצויזישע גויאנע	Guyane
וואגאדוגו	Ouagadougou
פריטאון	Freetown
אמאזאנאס (טייך)	Amazone (fleuve)
אבודזשא	Abuja
לאמע	Lomé
פארטא-נאווא	Porto-Novo
אמאן (יארדן)	Amman
יאונדע	Yaoundé
ביירוט	Beyrouth
ליברעוויל	Libreville
קאַטעגאָריע:היסטאריע מוסטערן	Catégorie:Modèle histoire
קינשאזע	Kinshasa
בראזאוויל	Brazzaville
ווארמז	Worms (Allemagne)
בוזשומבורע	Bujumbura
ניקאסיע	Nicosie
קיגאלי	Kigali
דאכא	Doha
אסטערויד	Astéroïde
דאדאמא	Dodoma
נייראבי	Nairobi
קאראנעל	Coronel (Chili)
לילאנגווע	Lilongwe
קאַטעגאָריע:געאגראפישע מוסטערן	Catégorie:Modèle géographique
לוסאקא	Lusaka
ליקוי חמה	Éclipse solaire
מאפוטא	Maputo
קאמפאלא	Kampala
לואנדע	Luanda
מבאבאנע	Mbabane
מאסערו	Maseru
אלבערט דער צווייטער פון בעלגיע	Albert II (roi des Belges)
בינארישע סיסטעם	Système binaire
שולע	École
אנטאנאנאריווא	Antananarivo
אוניווערסיטעט	Université
גאבאראנע	Gaborone
הארארע	Harare
ווינטהוק	Windhoek
װיקיפּעדיע:זאמדקאסטן	Wikipédia:Bac à sable
װיקיפּעדיע:ברוכים הבאים	Aide:Premiers pas
הויז	Maison
שויס קאמפיוטער	Ordinateur portable
הארטווארג	Matériel informatique
אלגעברע	Algèbre
ליעזש	Liège
מענטשלעכע אנאטאמיע	Anatomie humaine
מאפע	Carte géographique
פלאנצן אנאטאמיע	Anatomie végétale
טייך	Rivière
פראנקפורט אן דער אדער	Francfort-sur-l'Oder
אזאסקו	Osasco (Brésil)
גלאזגא	Glasgow
באדען-באדען	Baden-Baden
דאנג הוי לופטפעלד	Aéroport de Đồng Hới
קאסמאס	Espace (cosmologie)
ווייצמאן אינסטיטוט פאר וויסנשאפט	Institut Weizmann
אויטאביאגראפיע	Autobiographie
לוצערן	Lucerne
טעלעסקאפ	Télescope
מיילי סיירוס	Miley Cyrus
הויפט טאוול	Carte mère
קוריטיבא	Curitiba
מערב אפריקע	Afrique de l'Ouest
וואלד	Forêt
הארטער דיסק	Disque dur
מיט ראמני	Mitt Romney
פלאט	Marine de guerre
אנדאליען (טייך)	Río Andalién
בארשט	Bortsch
ספר איוב	Livre de Job
ראנקאגווע	Rancagua
אנע פראנק	Anne Frank
קאנפוציוס	Confucius
שרה בערנאר	Sarah Bernhardt
מארלין דיטריך	Marlene Dietrich
מארלין מאנרא	Marilyn Monroe
קארבין בלו	Corbin Bleu
קאַטעגאָריע:מאטעמאטיק	Catégorie:Mathématiques
בארברא סטרייסאנד	Barbra Streisand
פולא	Pula
רענעסאנס	Renaissance
לע קארבוזיע	Le Corbusier
איירא	Euro
אמעריקאנער דאלאר	Dollar américain
מיטלענדישער ים	Mer Méditerranée
זשארזשיע	Georgia
סעב-מילער	SABMiller
קריסטנטום	Christianisme
סיאטל	Seattle
בערלינער וואנט	Mur de Berlin
גאנגעס	Gange
רייז	Riz
באלטימאר, מערילענד	Baltimore
קאנטינענט	Continent
פויגל	Oiseau
הויפטשטאט	Capitale
פארטוגעזיש	Portugais
מאנאט	Mois
מוסטאפא קעמאל אטאטורק	Mustafa Kemal Atatürk
1948	1948
רונדווערעם	Nematoda
1949	1949
הואנג קסיאנפאן	Huang Xianfan
פעברואר 2009	Février 2009
1956	1956
1202	1202
1204	1204
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
1944	1944
1952	1952
בריליאנט	Diamant
ביל גייטס	Bill Gates
יאפאניש	Japonais
עקראן	Écran d'ordinateur
ענציקלאפעדיע	Encyclopédie
דיסקעט	Disquette
RAM זיכרון	Mémoire vive
הויפט זייט	Wikipédia:Accueil principal
פראצעסאר	Processeur
1959	1959
מוסטער:גוטער ארטיקל	Modèle:Bon article
1957	1957
רוטירער	Routeur
רעזיסטאר	Résistance (composant)
קאנדענסאטאר	Condensateur (électricité)
אינדוקטאר	Inducteur
טראנזיסטאר	Transistor
בעיסבאל	Baseball
קוישבאל	Basket-ball
קריקעט	Cricket
גאלף (שפיל)	Golf
ראגבי פוטבאל	Rugby (sport)
אויטאספארט	Compétition automobile
אלימפיאדע	Jeux olympiques
יאנגצע	Yangzi Jiang
מיזורי טייך	Missouri (rivière)
סיביר	Sibérie
פראנסיסקא גאיא	Francisco de Goya
הימאלייע	Himalaya
אנדן	Cordillère des Andes
ראקי בערג	Montagnes Rocheuses
קאפשטאט	Le Cap
טראוויזיע	Trévise
קאווקאז בערג	Géographie du Caucase
קאספישער ים	Mer Caspienne
אונטערגרונט באן	Métro
וויקטאריע אזערע	Lac Victoria
טאנגאניקע אזערע	Lac Tanganyika
בייקאל אזערע	Lac Baïkal
סאלוואדאר דאלי	Salvador Dalí
אלברעכט דירער	Albrecht Dürer
ווינצענט וואן גאך	Vincent van Gogh
קאצושיקא האקוסיי	Hokusai
פרידא קאהלא	Frida Kahlo
אנרי מאטיס	Henri Matisse
מיקעלאנדזשעלא	Michel-Ange
פאבלא פיקאסא	Pablo Picasso
ראפאעל	Raphaël (peintre)
רעמבראנדט	Rembrandt
פעטער פאל רובענס	Pierre Paul Rubens
סינאן	Sinan
ענדי ווארהאל	Andy Warhol
פרענק לויד רייט	Frank Lloyd Wright
מאדעם	Modem
עמינעם	Eminem
בוס	Autobus
טראמוויי	Tramway
אבו נואס	Aboû Nouwâs
האנס קריסטיאן אנדערסען	Hans Christian Andersen
מאצוא באשא	Matsuo Bashō
לארד בייראן	Lord Byron
מיגעל דע סערוואנטעס	Miguel de Cervantes
דזשעפרי טשאסער	Geoffrey Chaucer
בבל	Babylone
אנטאן פאוולאוויטש טשעכאוו	Anton Tchekhov
טשארלס דיקנס	Charles Dickens
יריחו	Jéricho
סאמארקאנד	Samarcande
באלעארישע אינזלען	Îles Baléares
בית לחם	Bethléem
מעקא	La Mecque
טשע געווארא	Che Guevara
קאנארישע אינזלען	Îles Canaries
מאא צעטאנג	Mao Zedong
קארדאבע	Cordoue
טאלעדא	Tolède
קאבול	Kaboul
בית הכסא פאפיר	Papier toilette
גבריאל גארסיא מארקעס	Gabriel García Márquez
יאהאן וואלפגאנג פאן געטע	Johann Wolfgang von Goethe
